stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,120.92,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,7,4,0,0,0,0,1,0,0,0,0,3,0,3,45,0,0,0,2,2,0,11,7,13,0,0,0
 24-34,0,0,0,0,0.82,4.93,0,0,0.82,0.82,0,0.82,0,0,0.82,4.1,0,2.46,40.22,0,0,0,0,4.1,0,0,0,6.57,0,0,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,0,6.45,0,0,28.2,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.72,9.75,0,0,0,3.44,0.57,0,0,0,0.57,5.74,0,0.57,20.08,0,0,0.57,0,0.57,0,0,0,3.44,0.57,0,0
 60-70,0,0,0,0,0,6.87,0.98,0,0,2.94,0,0,0.98,0,0,3.93,0,0.98,7.85,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,5.89,0,0,0,0,0,12.76,0,1.96,16.69,0,0,0,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,1.06,0,1.06,4.25,0,1.06,0,2.12,0,0,0,0,0,6.37,0,1.06,6.37,0,0,1.06,0,2.12,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,5.46,0,1.09,0,2.19,0,1.09,0,0,0,5.46,1.09,0,4.37,0,0,0,0,2.19,0,0,0,0,1.09,0,0
108-118,0,0,0,0,2.3,2.3,0,0,1.53,3.83,0,0,0,0,0,6.13,0.77,0,6.89,0,0.77,0.77,0,0.77,0,0,0,0,0,0.77,0.77
120,0,0,0,0,5.88,0,0,0,0,3.92,0,0,0,1.96,0,1.96,0,1.96,9.8,1.96,0,0,0,3.92,0,0,0,0,0,0,0
