stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,711.61,10595.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0,0
  5-6,766.2,8091.12,0,18.39,0,0,0,0,0,30.65,0,0,0,0,0,214.54,18.39,0,0,42.91,288.09,0,0,0,0,0,0,0
  7-9,94.63,94.63,0,170.87,0,0,268.13,0,0,136.69,0,0,0,0,0,2423.67,81.49,0,0,1009.43,5.26,15.77,0,0,0,0,0,0
 10-12,0,50.35,0,69.23,0,6.29,110.14,0,0,22.03,0,0,0,0,0,931.5,40.91,0,0,336.73,0,12.59,0,31.47,0,0,0,0
 14-21,0,0,0,5,71,9,33,3,5,2,0,1,2,20,19,204,9,1,4,5,0,0,42,4,4,41,46,0
 24-34,0,0,0.82,0.82,1.64,0,3.28,2.46,0,0,0,0,0,2.46,4.1,22.16,3.28,0,0,0,8.21,0,0,0,0,0.82,3.28,3.28
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,3.22,0,0.81,0,0,4.83,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
