stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0
  5-6,36.78,551.67,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,73.56,0,0,0,0,0,0,0
  7-9,5.26,5.26,10.51,0,0,15.77,0,0,0,0,5.26,0,0,0,165.61,7.89,105.15,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,15.73,0,0,0,0,0,3.15,0,0,50.35,3.15,28.32,0,3.15,0,6.29,0,0,0,0
 14-21,0,0,2,3,2,1,0,0,0,0,0,0,4,4,21,0,1,0,0,6,0,6,6,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,0,6.57,0,0,0,0,0,0.82,0.82,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,2.12,0,2.12,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,1.53,0.77,0,0,0,0,3.06,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
