stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,13,0,9,4,0,0,0,0,0,8,0,0,4,99,1,0,2,2,3,14,0,6,33,0,1,0
 24-34,1.64,0,62.39,6.57,0,0,0,0.82,0,25.45,0.82,0,4.1,361.18,0,0.82,1.64,0,1.64,0,0.82,2.46,73.88,0,4.1,0
 36-46,4.83,3.22,115.21,4.83,0.81,0,0,0,1.61,19.34,0,0,5.64,274.73,0,0.81,0,0,2.42,0,0,0,45.92,0,2.42,0.81
 48-58,2.3,0.57,115.91,7.46,0,0,0,0,0.57,12.05,0,0.57,2.3,112.47,0,0,1.15,0,0.57,0,0,0,14.92,0,0.57,0
 60-70,2.94,0,112.88,5.89,0,0,0,0,0,19.63,0,2.94,3.93,60.85,0,0,0.98,0,0.98,0,0,0,3.93,0,0,0
 72-82,1.96,0.98,32.39,6.87,0,0,0,0,0,6.87,0,0.98,0,37.3,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0
 84-94,2.12,1.06,23.36,5.31,0,0,1.06,0,1.06,8.5,0,0,3.19,21.24,0,0,1.06,0,0,0,0,0,2.12,1.06,1.06,0
 96-106,2.19,0,16.39,1.09,2.19,0,0,0,0,0,0,0,0,14.21,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,3.06,3.06,15.32,3.83,0,0,0,0,0,0.77,0,0.77,2.3,16.09,0,0,0,0,0.77,0,0,0,0,0,0.77,0
120,3.92,0,27.44,3.92,0,1.96,0,0,0,1.96,0,0,1.96,37.24,0,0,0,0,0,0,0,0,0,0,1.96,0
