stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,737.96,16735.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527.12,0,0,0,0,0,0,0,0,0
  5-6,747.82,5246.97,0,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,380.04,0,0,0,110.33,104.2,0,0,0,0,0,0,0,0,0
  7-9,34.17,49.95,0,57.83,0,0,5.26,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,215.55,23.66,0,0,809.64,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,44.06,0,9.44,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,62.94,0,0,0,239.17,0,0,0,0,0,0
 14-21,0,0,1,1,2,510,2,0,0,0,0,0,0,2,3,0,0,0,0,5,0,1,24,4,1,1,1,1,0,6,0,3,14,0,3,0,0
 24-34,0,0,0,0.82,2.46,158.43,7.39,0,1.64,0,0.82,0,0,0,0.82,0.82,0,0,0,9.85,0,2.46,94.4,1.64,1.64,0.82,0,1.64,0,0,0,3.28,38.58,0,7.39,0,0
 36-46,0,0,0,0,1.61,12.09,17.72,0,0.81,0.81,4.83,0,0,0,0,0,0.81,0,0.81,10.47,0,4.03,95.07,0,0.81,0.81,0,0,0,0,0,0.81,29,0,2.42,0,0.81
 48-58,0,0,0,0,0,13.77,35,0,0,0.57,8.03,0,0,0,0,0,0,0,0,8.61,0.57,0.57,56.81,0,1.72,0,0,0,0,0,0,0,16.07,0,1.72,0.57,0
 60-70,0,0,0.98,0,0,17.67,51.04,0,0,0,13.74,0,0,2.94,0,0,0.98,0.98,0,14.72,0,0.98,47.11,0,0.98,0,0,0.98,0,0,0,0,4.91,0,1.96,0,0
 72-82,0,0,0.98,0,1.96,54.97,20.61,0.98,0,1.96,4.91,1.96,0,0,0,0,0,1.96,0,7.85,0,0.98,28.47,0,0.98,0.98,0,0,0,0,0,0,4.91,0,3.93,0,0
 84-94,0,0,1.06,0,2.12,48.85,25.49,0,0,0,5.31,0,0,1.06,0,0,0,0,0,10.62,1.06,1.06,16.99,1.06,0,0,0,0,0,0,0,0,0,0,2.12,0,1.06
 96-106,0,0,1.09,0,0,86.33,13.11,0,0,1.09,9.84,2.19,0,0,2.19,0,0,0,2.19,6.56,0,1.09,17.49,0,0,0,0,1.09,0,0,0,0,1.09,1.09,3.28,0,0
108-118,0,0,0.77,0,0.77,96.51,5.36,0,0,0,4.6,1.53,0,0.77,0,0,0,0,0,2.3,0,0,16.09,0,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0
120,0,0,1.96,0,0,146.98,3.92,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,3.92,0,0,17.64,1.96,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
