stage,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,neural,periderm,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0.82,0,0,1.64,0,2.46,0.82,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0.98,0,0.98,0.98,2.94,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,0,2.19,0,3.28,0,0,0
108-118,0,0,0,0,1.53,0,2.3,0.77,1.53,0,0,0
120,0,0,0,1.96,0,0,3.92,0,1.96,0,0,0
