stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,0,0
 24-34,0.82,1.64,0,0,0,0,0,0,0,5.75,0,1.64,6.57,2.46,0,0,0,0,0.82,0,0,0
 36-46,0,1.61,0,2.42,0,0,2.42,0,0,6.45,0,1.61,10.47,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,6.89,0.57,2.3,19.51,0.57,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,1.96,0,0.98,6.87,0.98,0,16.69,0,1.96,18.65,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,5.89,0,0.98,42.21,0,0,18.65,0.98,5.89,24.54,0.98,0,0.98,0,0,0.98,0,0.98,0.98
 84-94,0,0,0,2.12,0,1.06,19.12,0,0,15.93,1.06,5.31,12.74,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,6.56,0,2.19,51.36,0,1.09,18.58,1.09,4.37,17.49,1.09,0,0,1.09,0,1.09,1.09,0,0
108-118,0,1.53,0.77,6.13,0.77,0.77,57.45,0,0,13.79,0.77,3.06,15.32,0.77,0,0,0.77,0,0,0,0.77,0.77
120,0,0,0,1.96,0,1.96,39.2,0,0,5.88,1.96,3.92,17.64,3.92,0,0,3.92,0,0,0,0,0
