stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,760.07,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,21.03,0,0,0,34.17,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,383.79,7.89,0,0,123.55,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,6.29,0,37.76,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,289.52,0,0,0,119.58,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,11,80,12,0,52,0,0,0,8,4,0,0,1,4,0,0,0,4,31,0,0,27,459,4,1,7,14,0,18,0,82,0,1,91,164,0,1,0,0
 24-34,0,0,0,2.46,13.13,1.64,0,27.91,0,0.82,1.64,6.57,0.82,0,0,1.64,5.75,0.82,0.82,0,0,23.8,0,0,9.85,197.01,0.82,0,3.28,0,0,24.63,0,0,1.64,0,4.1,55,0,7.39,0,0
 36-46,0,0,0,0,4.03,1.61,0,36.26,0,0,0,6.45,0,0,0,0,0,0,0,0.81,0,15.31,0,0,0.81,137.77,0,2.42,1.61,0,0,10.47,0,0,0.81,0.81,0,38.67,0,3.22,0,0
 48-58,0,0,0,0,3.44,0.57,0,21.23,0.57,0,1.15,11.48,0,0,0.57,0.57,0.57,0,0.57,0,0,6.89,0.57,0,2.3,70,0,2.3,0.57,0,0,5.74,0,0,0,0.57,0,17.79,0,0.57,0,0.57
 60-70,0,0,0,0,7.85,0,0,88.34,0,0,0,11.78,0.98,0,0,1.96,0,1.96,1.96,0,0.98,17.67,0,0,0.98,112.88,0,5.89,0,0,0,8.83,0,0,0,0,0,13.74,0,0.98,0,0
 72-82,0,0,0,0,5.89,2.94,0.98,68.72,0,0,1.96,13.74,0,0.98,0,2.94,0,0,1.96,0,0,21.6,0.98,0.98,3.93,72.64,0,9.82,3.93,0,0,16.69,0,0,0,0,0,10.8,0,5.89,0,0.98
 84-94,0,0,0,0,5.31,2.12,0,53.1,0,2.12,0,9.56,1.06,0,2.12,1.06,2.12,0,0,0,0,13.81,1.06,1.06,7.43,47.79,3.19,3.19,0,0,0,21.24,0,0,0,0,0,12.74,2.12,1.06,0,1.06
 96-106,0,0,1.09,0,7.65,4.37,0,68.85,0,2.19,1.09,14.21,3.28,0,0,2.19,2.19,1.09,1.09,2.19,0,19.67,1.09,1.09,3.28,54.64,0,8.74,4.37,0,1.09,28.41,0,0,0,0,0,1.09,0,4.37,1.09,4.37
108-118,0,0,0,0.77,6.89,3.06,0,58.21,0,3.83,1.53,13.02,5.36,0,0,6.89,0.77,0.77,1.53,1.53,0,13.02,1.53,1.53,6.89,56.68,1.53,5.36,3.83,0,0.77,39.06,0,0,0,0,0,2.3,2.3,4.6,0.77,0.77
120,0,0,0,0,5.88,1.96,0,25.48,0,3.92,0,7.84,9.8,0,0,0,0,0,0,0,0,5.88,0,1.96,5.88,35.28,0,0,0,0,0,15.68,0,0,0,1.96,0,0,0,0,0,0
