stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,1,22,0,2,0,0,0,1,0,0,1,4,0,0,0,0,0,4,0,0,0,52,0,0,1,1,0,0,2,0,1,4,17,0,51,0,0
 24-34,0,0.82,0.82,10.67,0,4.1,0,0.82,0,1.64,1.64,0,4.1,33.66,0,0,0,0.82,0.82,9.03,0,0,1.64,106.71,4.1,0,0.82,0,0,0,0,4.1,0,0.82,15.6,0,302.9,0,0
 36-46,0,0,0,4.03,0,5.64,0,0,0,2.42,0,0,0.81,33.03,0,0.81,0,0,0,2.42,0,0,0.81,60.43,4.83,0,0,0,0,1.61,0,2.42,0,0,5.64,0,223.17,0,0
 48-58,0,0,1.15,0,0,13.77,0.57,0,1.72,1.72,0,0,3.44,48.2,1.15,0,0,0,0,3.44,0,0.57,0.57,38.44,4.02,0,0,0,0,0.57,0,1.15,0,0,5.74,0,177.31,0,1.15
 60-70,0,0,1.96,1.96,0,13.74,0.98,4.91,1.96,2.94,0,0,0.98,54.97,0,0.98,0,0,0.98,5.89,0,0.98,1.96,23.56,2.94,0,0,0,0.98,0,0,2.94,0,0,6.87,0.98,147.23,1.96,1.96
 72-82,0,0,1.96,3.93,0,23.56,0,0,0,5.89,1.96,0,5.89,109.95,0,0.98,0,0,0,14.72,0,3.93,0.98,28.47,0.98,0,0.98,0,0,2.94,0,1.96,0,0,3.93,7.85,248.36,13.74,0.98
 84-94,0,0,0,1.06,0,12.74,0,5.31,1.06,2.12,0,0,4.25,103.02,0,1.06,0,0,0,8.5,1.06,6.37,1.06,24.43,3.19,0,0,0,0,1.06,0,0,0,0,0,3.19,211.35,14.87,0
 96-106,0,0,3.28,5.46,0,10.93,0,2.19,2.19,6.56,1.09,0,5.46,197.81,1.09,2.19,1.09,0,0,14.21,0,4.37,0,31.69,2.19,2.19,1.09,0,5.46,3.28,0,4.37,0,0,2.19,2.19,275.4,29.51,0
108-118,0.77,0,3.83,2.3,1.53,11.49,1.53,2.3,1.53,3.83,2.3,0,3.06,136.34,0,0,0.77,0.77,1.53,9.96,0,5.36,0,16.09,1.53,0.77,0.77,0,3.83,1.53,0,5.36,0,0,0.77,2.3,232.85,13.79,0.77
120,0,0,7.84,3.92,0,17.64,0,3.92,0,3.92,3.92,1.96,5.88,272.41,0,0,0,1.96,0,15.68,0,1.96,5.88,35.28,11.76,3.92,1.96,0,1.96,5.88,0,3.92,0,0,0,0,307.69,23.52,0
