stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,immune,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,10.51,2.63,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,3.28,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
