stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,5,0
 24-34,0,0,2.46,0,0.82,0,0,0,1.64,1.64,4.93,0,109.99,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0,2.42,0,88.62,0.81
 48-58,0,0,1.15,0.57,0,0,0,1.15,0,0,2.87,0,72.87,1.15
 60-70,0,0.98,0.98,0,0,0.98,0,1.96,0,0,0,0.98,29.45,0.98
 72-82,0,0,2.94,0.98,0,0,0,0,0,0,1.96,0,4.91,0
 84-94,0,0,0,0,1.06,1.06,0,0,1.06,1.06,0,0,38.23,0
 96-106,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,8.74,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,3.06,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0
