stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,1,0,0,1,0,0,0,11,0,0,0,1,0,0,1,61,0,0,0,0,11,1,1,21,0,1,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,2.46,0,0,0,30.37,0,0,1.64,1.64,0.82,0,0,124.77,0,0,0,0,13.13,0,1.64,35.3,0,0.82,0,3.28
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,28.2,0,0,1.61,1.61,0,0,0,49.15,0,0,0,0,10.47,0,0.81,36.26,0,3.22,0,2.42
 48-58,0,0,0,0.57,0,0,1.15,0,0,0.57,0,0,0.57,35.58,0,0,3.44,2.87,0,0,0,12.62,0,0.57,0,0,8.61,0,0,7.46,0,1.15,0,8.61
 60-70,0,0,0,0,0,0,10.8,0,0.98,1.96,0,0,0,53.98,0,0,3.93,11.78,0,0,0.98,46.13,0,0,0,0,5.89,0,0,5.89,0,0.98,0.98,16.69
 72-82,0,0,0,1.96,0,0,16.69,0,0.98,10.8,0,0,0,73.62,0.98,0,0.98,18.65,0,0.98,0,32.39,0,0,0,0,12.76,0,0,0,0.98,1.96,0,7.85
 84-94,0,0,1.06,1.06,2.12,0,10.62,0,1.06,3.19,0,0,0,89.21,0,0,10.62,9.56,0,2.12,0,27.61,0,0,0,1.06,15.93,0,0,0,1.06,6.37,2.12,10.62
 96-106,0,0,1.09,3.28,1.09,0,22.95,0,1.09,2.19,1.09,0,3.28,110.38,0,1.09,6.56,18.58,0,1.09,2.19,24.04,1.09,1.09,0,0,21.86,0,0,0,0,4.37,6.56,6.56
108-118,0,0,0.77,7.66,0,0.77,14.55,0.77,3.83,4.6,0,0,0,104.17,2.3,0.77,5.36,16.85,0,0.77,0.77,40.6,0,0,0,0,30.64,0,0,0.77,0.77,6.89,3.06,9.96
120,0,0,0,7.84,7.84,0,21.56,0,3.92,3.92,0,0,0,119.55,0,1.96,9.8,17.64,0,0,1.96,29.4,0,0,0,0,17.64,0,0,1.96,0,7.84,0,1.96
