stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,24.52,490.37,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,15.77,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,84.12,5.26,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,18.88,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,2,6,0,0,2,1,0,0,0,0,5,0,4,29,0,0,0,0,0,4,1,5,9,0,1,0
 24-34,0,0,0,0,0.82,0,4.93,0,0,0,0,0,0,0,0,6.57,0,2.46,45.15,0,0.82,0,1.64,0,0,0,0,7.39,0,1.64,0
 36-46,0,0,0,0,1.61,0,6.45,0,0,0.81,0,0,0,0,0,2.42,0,0,20.95,0,0,0,0.81,0,0,0.81,0,12.89,0,0,0
 48-58,0,0,0,0,1.72,0,10.9,0,0,0.57,1.72,0,0,0,0,4.59,0,1.72,14.92,0,0,0,1.15,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0.98,0,2.94,0,1.96,3.93,0.98,0,0,0,0,3.93,0,0.98,18.65,0.98,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0.98,0,8.83,0,0,2.94,0,0,0,0.98,0,5.89,0.98,0.98,10.8,0,1.96,0,0,0,0,0,0,2.94,0,0,0
 84-94,0,0,1.06,0,4.25,0,5.31,0,1.06,5.31,0,0,0,0,0,9.56,0,0,7.43,0,2.12,0,1.06,0,0,1.06,0,0,0,2.12,1.06
 96-106,0,0,0,0,1.09,0,2.19,0,0,0,0,0,0,0,1.09,4.37,0,3.28,9.84,0,0,0,2.19,0,0,0,0,3.28,1.09,2.19,1.09
108-118,0,0,0,0,0.77,0,3.06,0.77,0,6.13,0.77,0,0.77,0.77,0,3.06,0,1.53,11.49,0,0,0,1.53,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,1.96,0,5.88,0,0,9.8,0,0,0,0,0,1.96,0,0,19.6,0,1.96,0,0,0,0,0,0,0,0,0,0
