stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,15,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,8.21,0,0.82,0,0,0,0,0,0.82,0,0,0,0,4.93,0,0,13.13,34.48,0,0,0.82,0,0,0,0,0,1.64,0,17.24,0,0,0,0
 36-46,0,0,0,0.81,0,0,12.09,0,0,0,0.81,0,0,0,0,0,0,0,0.81,12.09,0,0,9.67,91.04,0,0,0,0,0,0,0,0,0.81,0,36.26,0,2.42,0,0.81
 48-58,0,0,0,0.57,0,0,20.08,1.72,0,0.57,2.87,0,0,0,0,0,0,0,1.15,8.61,0.57,0,2.87,86.64,0,0,0.57,0,0,0,0,0,1.72,0,25.25,0,1.15,0,1.15
 60-70,0,0,0,0,0,0,60.85,0.98,0,0,5.89,0,0,0,0,0,0,0,0,11.78,0,0.98,5.89,206.12,0,0,0,0,0,0,0,0,1.96,0,31.41,0,0.98,0,0
 72-82,0,0,0,1.96,1.96,0,78.53,0.98,0,1.96,32.39,0,0,0,0,0,0,0,0.98,23.56,0,0,9.82,187.5,0,0,3.93,0,0.98,0.98,0,1.96,1.96,0,15.71,0,1.96,0.98,0.98
 84-94,0,0,0,1.06,0,0,53.1,1.06,0,1.06,13.81,0,0,0,0,0,0,0,1.06,13.81,0,0,3.19,96.65,0,0,2.12,0,0,0,0,0,2.12,0,8.5,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,52.46,1.09,0,2.19,9.84,2.19,0,0,0,0,0,1.09,2.19,9.84,0,2.19,2.19,61.2,0,1.09,8.74,0,0,0,0,1.09,0,0,3.28,1.09,3.28,2.19,1.09
108-118,0,0,0,0.77,0,0,45.19,0.77,0,0,16.85,0.77,0,0.77,0,2.3,0.77,0,2.3,9.19,0,0,0.77,96.51,1.53,0.77,5.36,0,0,0.77,0,0,1.53,0,0.77,0,0.77,0.77,0
120,0,0,0,1.96,0,1.96,39.2,1.96,0,1.96,33.32,0,0,1.96,0,0,1.96,0,0,9.8,0,3.92,3.92,135.23,0,1.96,13.72,0,0,0,0,1.96,3.92,0,11.76,0,0,0,0
