stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,gut,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,12.26,600.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,10.51,0,0,0,0,0,0,0,68.35,2.63,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,1,17,3,0,1,0,0,9,0,0,8,1,0,0,1,0,4,1,3,0,3,16,0,1
 24-34,0,0,0.82,0.82,21.34,0.82,0,0.82,0.82,0,14.78,0.82,0,7.39,4.1,0,0,0,0,0,0,0,0,0,0,3.28,0
 36-46,0,0,0,0.81,0.81,0,0,0,0.81,0,6.45,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
