stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,24.52,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.14,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,25.18,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,16,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,15,3,0,0,0,0,2,0,0,4,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,19.7,0,0,0,0,6.57,0,0,0,3.28,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,13.7,0,0,0,0,4.83,0,0,0.81,8.86,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,2.3,0.57,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0.57,5.16,0,0,0,0,10.9,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,0,0,0,0,8.83,0,0,2.94,0,0,0.98,0,0,0.98,0,1.96,0,1.96,0,9.82,0,0,0,0,8.83,0,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,7.85,0,0,0,0,8.83,0,0,0,0,0,0,1.96,1.96
 84-94,0,0,1.06,0,4.25,0,0,3.19,0,1.06,1.06,3.19,0,0,2.12,1.06,0,1.06,0,0,2.12,0,4.25,0,0,0,0,26.55,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,7.65,0,1.09,2.19,0,0,1.09,4.37,0,0,3.28,0,0,4.37,1.09,1.09,1.09,0,3.28,0,1.09,0,0,18.58,0,1.09,0,0,0,1.09,1.09,4.37
108-118,0,0,0.77,0,4.6,0,0,1.53,0,0.77,0,6.89,0,0,0.77,0.77,0,3.06,1.53,0,0,1.53,3.06,0,0.77,0.77,0,16.85,0,0,0,0,0.77,0,0,0
120,0,0,0,0,5.88,1.96,0,1.96,0,0,0,19.6,0,0,1.96,0,0,3.92,1.96,0,1.96,1.96,9.8,0,0,0,0,35.28,0,0,0,0,1.96,0,0,0
