stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,138.47,3.15,0,0,12.59,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,29,3,6,0,0,0,4,0,0,1,0,1,0,0,0,0,4,0,0,2,66,3,0,0,0,0,4,0,16,3,0,5,34,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,12.31,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82,4.1,0,0,8.21,107.53,0,0.82,0,0,0,2.46,0,0,0,0,0.82,29.55,0,0,3.28,0,1.64
 36-46,0,0,0,0,2.42,1.61,24.98,0,0,0.81,1.61,0.81,0,0,0,0.81,0.81,0,0,2.42,13.7,0,0,1.61,93.46,0,3.22,2.42,0,0,6.45,0,0,0.81,0,0,23.36,0,0,2.42,0,2.42
 48-58,0,0,0,0,2.87,1.15,34.43,0,0,0.57,4.59,0,0,0,0.57,0,0,0,0,2.87,16.64,0.57,1.15,1.72,66.56,0.57,1.72,1.15,0,0,1.15,0,0,0,0.57,0,16.64,0,0,0.57,0,4.59
 60-70,0,0,0.98,0,1.96,1.96,62.82,0.98,0.98,0,13.74,0,0,0,0,0,0.98,0,0.98,0.98,16.69,0.98,0,1.96,54.97,1.96,0.98,0.98,0,0,2.94,0,0,0,0,0,6.87,0,0,2.94,0.98,1.96
 72-82,0,0,0,0,0.98,29.45,69.7,0,1.96,0.98,26.5,0.98,0,0.98,0,0,0,0.98,0,0,31.41,0,3.93,4.91,68.72,0,2.94,1.96,0,0.98,1.96,0,0,0,0,0,8.83,0.98,0.98,3.93,0,2.94
 84-94,1.06,0,0,1.06,8.5,24.43,40.36,0,3.19,0,6.37,0,0,0,2.12,0,2.12,0,0,2.12,22.3,0,0,5.31,47.79,0,1.06,2.12,0,0,12.74,0,0,0,0,0,3.19,1.06,0,5.31,1.06,4.25
 96-106,0,0,0,0,13.11,19.67,53.55,0,2.19,2.19,29.51,9.84,0,0,7.65,2.19,1.09,1.09,2.19,2.19,56.83,1.09,5.46,2.19,48.09,0,6.56,7.65,0,1.09,9.84,1.09,0,0,0,0,5.46,3.28,1.09,6.56,3.28,1.09
108-118,0,0,0,0,12.26,16.09,38.3,0,5.36,0.77,29.87,1.53,0,1.53,5.36,3.83,0.77,2.3,0.77,1.53,33.7,0,0.77,7.66,57.45,0.77,6.89,2.3,0,0,13.79,0,0,0,0,0,3.06,1.53,1.53,2.3,0,6.13
120,0,0,0,0,15.68,7.84,35.28,0,3.92,0,15.68,5.88,0,1.96,11.76,1.96,3.92,3.92,1.96,1.96,37.24,3.92,1.96,3.92,58.79,1.96,1.96,9.8,0,0,7.84,0,0,0,0,0,5.88,3.92,3.92,0,0,1.96
