stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,8,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,2,0,0,0,1,0
 24-34,0,0.82,3.28,0,0.82,0,0,0,0,0,0,0.82,73.88,0,0,0.82,1.64,0,0,0,19.7,0,0.82,0,0,0.82,0,0,0,3.28,0,0,4.93,0
 36-46,0,0,0,0,0.81,0,0,0.81,2.42,0,0,0,86.21,0,0,0,2.42,0,0,0.81,29.81,0,0,0,0,1.61,0,0,0,6.45,0,0,3.22,0
 48-58,0,2.3,0,0,10.9,0,0,1.15,4.59,0,1.15,0,103.86,0.57,0.57,1.15,5.74,0,0.57,2.87,29.84,0,0,0,0,1.15,0,0,0,3.44,0,0,2.87,0
 60-70,0,0,0,0,24.54,0,0.98,0,4.91,0,0,0,113.86,0,0,0,7.85,0,0,2.94,35.33,0,0,0,0,0,0,0,0,7.85,0,0.98,4.91,0.98
 72-82,0,2.94,0,0,38.28,0.98,0,0,4.91,0.98,0.98,0,156.08,0.98,0,0.98,18.65,0,0.98,6.87,20.61,0,0.98,0.98,0,0.98,0,0,0,1.96,0,0,10.8,0.98
 84-94,0,1.06,2.12,0,62.66,0,1.06,0,3.19,0,0,0,183.73,1.06,0,1.06,10.62,0,0,5.31,15.93,0,0,0,0,3.19,0,0,0,0,0,1.06,6.37,0
 96-106,0,1.09,2.19,0,71.04,0,0,0,12.02,1.09,0,0,207.64,1.09,0,0,8.74,1.09,1.09,15.3,13.11,0,0,0,0,0,0,0,0,0,0,0,12.02,1.09
108-118,0,0,1.53,0.77,92.68,0,0,0,4.6,1.53,0,0,149.36,0,0,0,7.66,0,0,26.04,20.68,0,0,0.77,0,2.3,0,0,0,0.77,0,0.77,15.32,0
120,0,0,1.96,0,31.36,0,0,0,3.92,0,0,0,233.21,0,1.96,0,5.88,0,0,29.4,25.48,0,0,0,0,0,0,0,0,0,3.92,0,15.68,0
