stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,54,20,26,0,1,0,6,5,1,3,0,1,0,0,0,1,25,0,0,20,273,7,1,5,4,0,12,31,3,1,30,88,0,0,4,0,1
 24-34,0,0,0.82,0.82,11.49,0.82,25.45,0,3.28,0,5.75,1.64,0,0.82,1.64,1.64,0,0.82,0,0,18.88,0,0,17.24,178.13,1.64,2.46,0,0,0,12.31,0,0.82,0,3.28,55,0,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,29.81,0,0.81,1.61,6.45,0,0.81,0,0,0.81,0,2.42,0.81,0,10.47,0,0,5.64,58.01,2.42,1.61,0,0,0,7.25,0,0,0,0,18.53,0,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,38.44,0.57,0.57,0.57,8.03,0,1.72,0.57,0.57,0.57,0.57,0,0,1.72,22.38,0,1.72,6.89,48.77,0,0.57,1.15,0,0.57,4.02,0,0,0.57,0,17.21,0,0,2.87,0,2.3
 60-70,0,0,0,0,10.8,0,61.84,0,1.96,0.98,22.58,0.98,0,0.98,0.98,0,1.96,0.98,1.96,0,36.32,0.98,1.96,9.82,65.76,0.98,0,1.96,0,0,10.8,0,0,0,0,11.78,0,2.94,1.96,0.98,0
 72-82,0,0,0.98,0,7.85,3.93,30.43,0.98,0,0,18.65,3.93,0,0.98,3.93,1.96,0.98,2.94,1.96,0,61.84,0,1.96,4.91,35.34,0,0.98,0,0,0.98,10.8,0,1.96,0,0,3.93,0.98,2.94,10.8,2.94,0
 84-94,0,0,1.06,0,13.81,10.62,40.36,0,6.37,4.25,32.92,1.06,3.19,0,1.06,4.25,2.12,3.19,1.06,2.12,49.92,0,4.25,4.25,37.17,0,3.19,2.12,0,1.06,23.36,0,1.06,0,0,3.19,0,1.06,10.62,2.12,0
 96-106,0,0,1.09,0,16.39,2.19,26.23,0,5.46,2.19,20.76,5.46,0,3.28,4.37,2.19,0,7.65,2.19,1.09,63.39,1.09,2.19,6.56,27.32,0,1.09,10.93,0,0,16.39,0,0,0,0,3.28,1.09,1.09,14.21,0,2.19
108-118,0,0,2.3,0,16.85,1.53,25.28,0,3.83,1.53,22.21,6.89,0,0.77,3.06,0.77,2.3,2.3,3.06,0,52.85,2.3,3.83,5.36,55.15,0.77,3.83,6.89,0,0,11.49,0,0,0,0,0.77,3.83,0,6.13,1.53,3.83
120,0,0,0,0,9.8,3.92,15.68,0,1.96,0,19.6,7.84,0,0,1.96,0,3.92,0,1.96,1.96,15.68,0,0,1.96,33.32,1.96,1.96,5.88,0,1.96,29.4,0,0,0,0,1.96,0,3.92,1.96,0,0
