stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,25.18,0,0,9.44,0,0,0,0
 14-21,0,4,50,0,0,0,0,1,0,0,3,38,0,5,0,0,4,1,0,0,1,0,2,0
 24-34,0,15.6,43.51,0,0.82,0.82,0,8.21,0,0,13.13,59.92,0.82,4.1,0,3.28,13.13,0,0,0,0,0.82,13.95,0.82
 36-46,0,0.81,4.03,0,0.81,0,0,11.28,0,0,2.42,25.78,0,0,0,0.81,8.06,0,0,0,0,0,20.95,0
 48-58,0,0,1.15,0.57,2.87,0,0,13.77,0,0,2.87,13.77,1.72,0,0,0,8.61,0,0.57,0,0,0,8.03,0
 60-70,0,0,0.98,0,0.98,0,0,14.72,0,0,0.98,9.82,1.96,0,0,0,2.94,0,0.98,0,0.98,0,3.93,0
 72-82,0,0,0,0,0.98,0,0,16.69,0,0,0.98,11.78,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,31.86,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,41.53,0,2.19,0,4.37,0,0,2.19,0,7.65,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0.77,0,0.77,20.68,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,45.08,0,1.96,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,0
