stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,16.42,0,0.82,0,0.82,0,0.82,14.78,0,0,0,0
 36-46,0,0,0.81,0,0,4.03,0,0,0,0,0,0,4.03,0,0,69.29,0,0,0,0,0,0,37.06,0,0,0,0
 48-58,0,0,4.02,0,0.57,1.72,0,0,0,4.59,0,0,1.72,0,0.57,97.55,0,0,0,0.57,0,0,20.08,0,0,0.57,0
 60-70,0.98,0,38.28,0,0,2.94,0,0,0,40.24,0,0.98,5.89,0,0.98,207.1,0,0,0,0,0,0,13.74,0,2.94,0,0
 72-82,5.89,1.96,161.97,0,0,10.8,0.98,0,0,46.14,0.98,0.98,20.61,1.96,1.96,440.77,0,0,0.98,0.98,0.98,0,32.39,0,3.93,1.96,0
 84-94,2.12,0,127.44,0,1.06,13.81,0,0,1.06,28.68,0,1.06,10.62,0,1.06,271.88,0,0,0,1.06,0,0,14.87,1.06,3.19,0,2.12
 96-106,1.09,1.09,160.65,0,1.09,9.84,0,1.09,2.19,32.79,1.09,0,15.3,0,1.09,248.08,0,1.09,0,1.09,0,0,13.11,0,6.56,1.09,1.09
108-118,0.77,0.77,139.41,0,0,16.09,0,0,0.77,46.72,0,0.77,8.43,0,0,300.26,0,0,0,0.77,1.53,0,5.36,0,3.06,0.77,2.3
120,5.88,0,121.51,0,1.96,19.6,0,0,0,15.68,0,0,15.68,1.96,7.84,344.92,0,5.88,0,3.92,0,0,9.8,0,0,0,1.96
