stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,27,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,2.46,3.28,0.82,0,1.64,0,0,1.64,0.82,2.46,0,7.39,0.82,0,0,0.82,0,92.76,0,0,38.58,16.42,0.82,0,0,0,0,0,0,1.64,0,0,12.31,0,0
 36-46,0,4.83,0,0,1.61,0,2.42,0.81,0,23.36,0,4.03,0,13.7,4.83,0,0,0.81,0.81,435.87,0,0.81,157.91,47.53,0.81,0.81,0,0,0.81,0,0,9.67,0,0,8.06,0.81,0
 48-58,0,2.3,0,1.15,0,0,10.9,0,0.57,29.26,2.3,0,0,11.48,0,0,0,0,0,373.55,0,2.3,59.1,27.54,1.15,0,0,0,0.57,0,0,2.87,0,1.72,15.49,0,0.57
 60-70,0.98,0,0,2.94,0.98,0,25.52,0.98,0.98,34.35,2.94,0,0,12.76,4.91,0,0.98,0,0,920.67,0,6.87,68.71,41.22,0,1.96,0,3.93,3.93,0,0,2.94,0,10.8,29.45,2.94,1.96
 72-82,0,1.96,0,1.96,0,0,26.5,0.98,0.98,34.36,6.87,0.98,0,7.85,0.98,0.98,0,0,0,680.29,0,5.89,45.16,31.41,0,0,0.98,2.94,0.98,0.98,0,2.94,0,19.63,69.7,11.78,0
 84-94,0,0,0,5.31,0,0,53.1,0,1.06,27.61,9.56,0,0,16.99,3.19,0,1.06,1.06,0,423.75,0,4.25,30.8,18.05,0,0,0,4.25,0,1.06,0,0,0,20.18,41.42,11.68,0
 96-106,0,1.09,0,5.46,1.09,1.09,45.9,0,1.09,29.51,8.74,0,0,18.58,4.37,0,0,3.28,0,536.59,0,8.74,33.88,48.09,2.19,0,0,10.93,5.46,2.19,0,0,0,29.51,56.83,13.11,0
108-118,0.77,0.77,0,5.36,2.3,0,19.15,0,0.77,29.11,2.3,0,0,7.66,4.6,0,0,0,0,510.9,0.77,3.83,23.74,39.06,0.77,0,0,8.43,0.77,0,0,3.83,0.77,15.32,41.36,5.36,0
120,0,0,0,5.88,1.96,1.96,15.68,0,0,7.84,1.96,0,1.96,5.88,1.96,0,0,0,0,437.03,0,7.84,15.68,23.52,0,0,0,13.72,0,0,0,1.96,0,19.6,50.95,5.88,1.96
