stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8,4,11,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,5,3,2,0,0,0,2,0,5,0,1,10,22,0,0,0,0,0
 24-34,0,13.13,0.82,1.64,0,1.64,0,0,2.46,0.82,1.64,0.82,0,0.82,0,0.82,0,0,1.64,0,0,1.64,118.2,0,6.57,1.64,0,0,17.24,0,0,0,0.82,13.95,67.31,0,0,0.82,0,0
 36-46,0,4.03,0,2.42,0,14.5,0,1.61,1.61,0,1.61,0,0,0.81,0,0,1.61,0,3.22,0,0,0.81,418.14,0,4.83,0.81,0,0,24.98,0,0,0,0,0,142.6,0,0,0.81,0,0
 48-58,0,2.3,0,0.57,0,74.59,0,0,2.87,5.74,0.57,0,0,0,0,1.72,0,0.57,9.18,0,1.15,1.15,538.8,0,1.15,2.3,0,0,29.84,0,0,0.57,0,0,115.33,0,0,0,0,0.57
 60-70,0,3.93,0,2.94,0,452.48,0,1.96,2.94,3.93,0,0,0,0.98,0,4.91,0,0,6.87,0,0.98,0.98,1030.6,0,4.91,8.83,0,0,37.3,0,0,0.98,0,0,131.52,0,0,1.96,0,0.98
 72-82,0,18.65,0,3.93,3.93,905.09,0,0,9.82,30.43,2.94,0,0.98,0.98,1.96,12.76,0,0.98,29.45,0,0,2.94,1029.76,0,2.94,8.83,0,0,24.54,0,0,0,0,0,76.57,1.96,0,3.93,3.93,2.94
 84-94,0,20.18,0,13.81,2.12,803.96,1.06,3.19,4.25,32.92,5.31,2.12,1.06,2.12,1.06,22.3,2.12,1.06,21.24,0,2.12,3.19,535.27,0,5.31,23.36,0,1.06,72.22,1.06,0,0,0,0,63.72,0,1.06,2.12,4.25,0
 96-106,0,25.14,0,8.74,6.56,567.19,2.19,4.37,4.37,30.6,4.37,1.09,1.09,4.37,0,29.51,1.09,0,16.39,0,0,2.19,475.39,0,1.09,36.06,0,0,49.18,1.09,0,2.19,0,0,24.04,2.19,1.09,2.19,2.19,1.09
108-118,0,13.79,0.77,8.43,1.53,398.3,0.77,2.3,3.83,26.04,3.06,0.77,2.3,3.83,0,19.15,0.77,0,16.09,0.77,0.77,0.77,468,1.53,2.3,20.68,0,0,25.28,0,0,0,0,0,21.45,4.6,0.77,0.77,1.53,0
120,0,13.72,0,11.76,0,342.96,0,3.92,1.96,33.32,1.96,0,0,5.88,0,21.56,0,0,25.48,1.96,1.96,5.88,591.86,0,3.92,27.44,0,0,37.24,0,0,0,0,0,19.6,1.96,1.96,0,0,0
