stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,6.29,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,91.26,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,3,0,1,7,0,0,0,0
 24-34,0,0,0,2.46,1.64,0,8.21,0.82,0,0,1.64,0.82,0,0,0,0.82,0,0,0,4.93,0,0,3.28,43.51,0.82,0.82,0,0,0,0,0,0.82,9.03,0,0,0,0
 36-46,0,0,0,0.81,0,0,10.47,0.81,0,0,0.81,0,0,0,0,0,0,0,0,6.45,0,0,1.61,32.23,0,0,0,0,0,0,0,0,6.45,0,0,0.81,1.61
 48-58,0,0,0,1.72,0,0,10.9,0.57,0.57,0,2.3,0,0,0,0,0,0.57,0,1.15,3.44,0.57,0,1.72,25.82,0,0,0,0,0.57,0,0,0,2.3,0,0,0,0.57
 60-70,0,0,0,0,0,0,15.7,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0.98,3.93,0,0.98,2.94,29.45,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0,0,0,10.8,0.98,0,0,2.94,0,0,0.98,0,0,0,0,0,0.98,0,0,5.89,21.6,0.98,0,0,0.98,0.98,0,0,0,0.98,0,0,0,1.96
 84-94,0,0,0,0,0,0,2.12,2.12,0,1.06,3.19,0,0,0,0,0,0,0,0,7.43,0,0,1.06,7.43,0,1.06,0,0,1.06,0,0,0,1.06,0,2.12,0,0
 96-106,0,0,0,2.19,0,1.09,6.56,0,0,0,5.46,0,0,0,0,0,1.09,0,1.09,7.65,0,0,0,9.84,0,0,0,0,3.28,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0.77,0,2.3,4.6,0,0,0.77,2.3,0.77,0,0,1.53,0,0,0.77,0.77,4.6,0,0,0.77,11.49,0,1.53,0,0,3.83,0,0.77,0,0,0,0.77,0,0.77
120,0,0,0,3.92,1.96,0,7.84,1.96,0,0,5.88,0,0,0,0,0,1.96,1.96,0,5.88,1.96,1.96,1.96,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0,0
