stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,6,2,2,0,0,2,0,0,6,0,1,0,0,0,31,0,0,12,65,3,0,1,5,0,11,15,1,1,16,47,0,2,0
 24-34,0,0,1.64,0.82,5.75,0.82,4.93,0,0,4.1,0.82,0.82,32.83,0,3.28,0.82,0,0.82,36.12,0,2.46,18.88,58.28,1.64,0.82,1.64,0,2.46,32.83,0.82,0.82,0,0,27.91,0,6.57,0
 36-46,0,0,0.81,0,1.61,0,8.06,0.81,0.81,3.22,0,0,31.42,0,0,0,1.61,0,35.45,0.81,10.47,10.47,41.89,0.81,1.61,0,0,2.42,33.03,0,0,0,0,14.5,0,0.81,0
 48-58,0,0,0.57,0,1.15,0,9.18,0,1.15,4.59,0,0,19.51,0,0,1.15,0.57,0.57,36.72,2.3,14.35,6.31,18.94,0,0,0,0,9.18,16.07,0,0,0,0,12.05,0.57,0,0
 60-70,0,0,0,0,0,0.98,5.89,0,0,5.89,0,0,6.87,0,1.96,0,0,0,37.3,0.98,8.83,0.98,10.8,0,0.98,0.98,0,11.78,47.11,0,0,0,0,1.96,5.89,1.96,0
 72-82,0,0,1.96,0,1.96,1.96,20.61,0.98,2.94,13.74,2.94,0,8.83,0,1.96,0,0,0,67.73,1.96,27.49,5.89,14.72,0,0.98,0,0,15.71,64.79,0,0,0,0,4.91,1.96,0.98,1.96
 84-94,0,0,0,0,8.5,2.12,5.31,8.5,0,4.25,0,0,9.56,2.12,5.31,0,0,0,27.61,3.19,38.23,2.12,3.19,1.06,0,0,0,9.56,244.27,0,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,0,10.93,0,8.74,2.19,0,7.65,3.28,0,9.84,0,8.74,0,0,0,16.39,2.19,39.34,2.19,13.11,0,0,4.37,0,16.39,183.6,0,2.19,0,0,2.19,3.28,0,6.56
108-118,0,0,0.77,0,8.43,0.77,11.49,9.96,1.53,3.06,1.53,0,2.3,0,2.3,0,0.77,0,18.38,6.13,39.06,0.77,6.89,0.77,1.53,0.77,0,13.79,167.75,0,2.3,0,0,0,0,0.77,3.06
120,0,0,0,0,13.72,1.96,3.92,3.92,0,0,0,0,7.84,0,0,0,0,0,7.84,1.96,37.24,0,9.8,0,0,0,0,19.6,107.79,0,1.96,0,0,1.96,0,0,1.96
