stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,47.32,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,5,1,1,0,0,2,0,0,0,0,0,0,7,0,7,79,1,1,2,2,1,11,1,0,5,24,0,0,0
 24-34,0,0,0,0,0,0.82,9.85,0,0,0.82,0,0,0,1.64,0,0,10.67,0,9.03,131.34,0.82,2.46,4.93,0,0.82,0,0,0,3.28,45.97,0,1.64,0.82
 36-46,0,0,0,0,1.61,0,20.95,0,0.81,1.61,0,0,0,0,0,0,19.34,0,4.03,136.96,0.81,0.81,0,0,0.81,0,0.81,0,0,27.39,0,2.42,0
 48-58,0,0,0,0,0.57,0,38.44,0,1.72,3.44,0,0,0,0.57,0.57,0,25.25,0.57,5.74,78.04,0,1.15,0,0,0,0,0,0,0,12.62,0,1.15,0
 60-70,0,0,0,0,1.96,0,48.09,0,1.96,5.89,0.98,0,0.98,0,0,0,16.69,0,4.91,83.43,0,0,0.98,0,0,0,0,0,0,8.83,0,0,0
 72-82,0,0,0,0,0.98,0,19.63,0,2.94,3.93,0,0,0,0,0.98,0,33.38,0,8.83,44.17,0,0,1.96,0,0,0,0,0,0,3.93,0,0.98,0
 84-94,0,0,0,0,3.19,2.12,18.05,0,0,5.31,0,0,0,0,0,0,25.49,2.12,1.06,32.92,0,0,0,0,1.06,0,0,0,0,3.19,0,0,0
 96-106,0,0,1.09,0,2.19,1.09,14.21,2.19,0,5.46,2.19,0,0,0,0,1.09,22.95,2.19,4.37,30.6,0,0,3.28,0,2.19,0,1.09,1.09,0,0,1.09,3.28,0
108-118,0,0,0,0,0.77,0,11.49,0.77,0,2.3,0,0,0,0,0,0,14.55,0,5.36,37.53,0,0.77,0,0,0.77,0,0,0.77,0,0.77,1.53,0,0.77
120,0,0,0,0,5.88,1.96,17.64,0,3.92,3.92,1.96,0,0,0,0,0,7.84,0,1.96,37.24,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
