stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,28.32,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,2,0,3,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,4.93,0,1.64,14.78,1.64,0,0,2.46,0,0.82,0,2.46,0,0,0,0
 36-46,0,0,0.81,0,0,4.03,0,0.81,0.81,0,0,0.81,0,0,2.42,0,0.81,23.36,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0.57,0,0,4.02,0,1.15,1.72,0,0,0,0,0,4.02,0.57,0,12.62,0,0,0,1.15,0,0,0,3.44,0,1.15,0,0
 60-70,0,0,0.98,0,0,7.85,0,0,0.98,0.98,0,0,0,0,5.89,0,0.98,6.87,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0.98
 72-82,0,0,0.98,2.94,0,1.96,0,0,1.96,0,0.98,0,0,0,4.91,0.98,0.98,12.76,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,2.12,1.06,0,5.31,0,0,3.19,0,0,0,0,1.06,5.31,1.06,1.06,10.62,0,2.12,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,9.84,0,0,2.19,1.09,0,1.09,0,0,2.19,0,0,6.56,0,1.09,0,1.09,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0.77,0.77,0.77,4.6,0.77,0.77,3.06,0,0.77,0,0.77,0.77,6.13,0,0,7.66,0,0,0,2.3,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,3.92,1.96,0,0,5.88,0,0,0,0,0,0,0,0
