stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,2,1,23,2,6,0,3,0,4,1,1,1,0,1,0,0,0,1,15,0,0,10,114,3,0,1,2,0,3,1,17,0,14,33,0,0,0,0,0
 24-34,0,0,1.64,3.28,0.82,9.03,0,1.64,0,3.28,0.82,0,0.82,0,0.82,0,0,0,0,12.31,1.64,1.64,8.21,79.62,2.46,1.64,1.64,0,0,9.85,0,0,0,1.64,18.06,0,0,1.64,0,0.82
 36-46,0,0,0,5.64,0.81,12.89,0,2.42,2.42,6.45,0,0,0.81,0,0,0.81,0,0,0,20.95,0,0,9.67,71.7,3.22,1.61,0,0,0,5.64,0,0,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,4.59,0,19.51,0.57,1.72,4.02,10.9,0,0,1.15,0,0.57,0,0,0,0,25.25,1.15,4.02,5.16,66.56,1.15,1.72,1.15,0,0.57,5.16,0,0,0,0,24.67,0,0,1.15,0,0
 60-70,0,0,0,1.96,0,17.67,0.98,0,2.94,10.8,0,0,0,1.96,0,0.98,0,0,0,32.39,0.98,0,1.96,61.84,2.94,0,1.96,0,0,14.72,0,0,0,0,6.87,0,0,0.98,0,0.98
 72-82,0,0,0,3.93,2.94,27.49,0,0,3.93,37.3,0,0,2.94,1.96,0.98,0,0.98,0,0,94.24,0.98,3.93,8.83,107.98,0,0,6.87,0,0,12.76,0,0,0,0,13.74,0,3.93,4.91,3.93,0.98
 84-94,0,0,0,7.43,3.19,13.81,0,5.31,2.12,18.05,0,1.06,2.12,0,1.06,0,1.06,0,0,57.35,1.06,3.19,6.37,37.17,0,1.06,4.25,0,1.06,29.74,0,0,0,0,5.31,0,2.12,5.31,1.06,0
 96-106,0,1.09,0,7.65,0,9.84,0,4.37,5.46,14.21,1.09,0,2.19,1.09,1.09,0,1.09,0,0,57.92,2.19,4.37,7.65,31.69,0,3.28,7.65,0,3.28,18.58,0,0,0,0,5.46,1.09,1.09,6.56,0,0
108-118,0,0,0.77,13.79,3.06,12.26,0,4.6,3.83,12.26,2.3,0,0.77,2.3,2.3,1.53,6.89,1.53,0,45.96,0.77,2.3,4.6,59.75,1.53,3.06,6.89,0,1.53,23.74,0,0,0,0,1.53,0,1.53,5.36,2.3,3.06
120,0,0,0,17.64,3.92,11.76,0,3.92,0,11.76,0,0,1.96,3.92,0,1.96,1.96,0,0,39.2,3.92,0,1.96,48.99,1.96,0,3.92,0,0,37.24,0,0,0,0,5.88,0,1.96,9.8,1.96,0
