stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1779.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,73.56,999.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,6.13,24.52,0,0,0,0,0,0,0,0,0
  7-9,28.92,13.14,23.66,0,0,55.2,0,0,0,0,18.4,0,0,0,0,0,0,0,0,460.02,13.14,0,181.38,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,3.15,40.91,0,0,0,0,6.29,0,0,0,0,0,0,0,0,343.02,12.59,0,132.17,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,1,10,3,1,0,0,3,0,0,0,0,0,0,0,4,0,5,47,1,0,1,1,0,3,0,4,8,0,2,0,0
 24-34,0,0,0,1.64,0.82,12.31,0,0,1.64,0,0.82,0,0,0,0,0,8.21,0,7.39,77.16,0,0.82,0,4.93,0,0,0.82,4.93,18.06,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,5.64,0,2.42,2.42,0,0,0,0,0,0,0,8.86,0,1.61,38.67,0,0,0,2.42,0,0,0.81,0,12.89,0,0,0,0
 48-58,0,0,0,0.57,1.15,16.64,0,0.57,4.02,0,0,0.57,0.57,0,0,0.57,13.2,1.15,3.44,21.8,0,0,0,2.3,0,0,0,0,5.74,0,1.15,0,0
 60-70,0,0,0,2.94,0,12.76,0,0.98,2.94,0,0,0,1.96,0,0,0,9.82,0,0,9.82,0,0,0,0.98,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,1.96,11.78,0,1.96,8.83,0.98,0,0,0,0,0.98,0.98,22.58,0.98,1.96,16.69,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98,0
 84-94,0,0,0,1.06,0,4.25,0,0,2.12,0,0,0,0,0,0,2.12,6.37,1.06,2.12,7.43,1.06,0,0,3.19,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,2.19,1.09,5.46,0,1.09,4.37,0,0,0,0,1.09,0,0,14.21,0,0,5.46,1.09,1.09,0,5.46,0,0,0,0,1.09,1.09,1.09,2.19,0
108-118,0,0,0,4.6,0,5.36,0.77,0.77,4.6,0.77,0,0,0.77,0,0.77,1.53,9.19,0.77,0.77,6.89,0,0.77,0,3.06,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,5.88,0,0,9.8,1.96,0,0,0,0,3.92,0,11.76,0,1.96,3.92,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0
