stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,65.72,5.26,0,0,39.43,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,9.03,0,0,0,0,0,7.39,4.93,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0.57,0,0.57,0,0,1.15,0,0,0.57,9.18,0,0,0,0,0.57,3.44,0.57,0,0,0,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,1.96,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,0,0,0.98,0.98,0,0,0.98,1.96,8.83,0,0,0.98,0,0.98,11.78,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,1.06,0,3.19,0,1.06,0,4.25,0,0,0,0,3.19,23.36,2.12,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,1.09,12.02,0,1.09,0,1.09,2.19,9.84,0,1.09,1.09,0,3.28,32.79,0,0,0,0,0
108-118,0,0,0,0,0,0,3.83,0,0,0.77,1.53,24.51,0,1.53,1.53,1.53,3.06,10.72,0,0,0,0,2.3,24.51,0.77,0.77,0.77,0,0
120,0,0,1.96,0,3.92,0,1.96,0,0,0,1.96,45.08,0,3.92,0,0,0,31.36,0,0,0,0,0,21.56,0,0,0,0,0
