stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,63.09,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,16.42,0,0,0.82,0.82,0,3.28,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0,41.09,0,0,0,4.83,0,10.47,0,0,0,0,1.61,0,0,0,0,4.03,0,0,1.61
 48-58,0,0,0,0,0.57,0.57,0,13.77,0,0.57,0.57,1.15,0,0,0.57,0,73.45,0,0,0,2.3,2.3,22.95,0,0,0,0,1.15,0,0,0.57,0,5.74,0,0,1.72
 60-70,0,0,0,0,0.98,0.98,0,17.67,0,1.96,0,1.96,0,0.98,0,0,132.51,0,0,0,6.87,0,36.32,0,0.98,0,0,3.93,0,0,0.98,0,6.87,0,0,0.98
 72-82,0,0,0,0,2.94,0,0,25.52,0.98,0,1.96,4.91,0,0,0,0,135.47,0,0,0.98,14.72,0,34.36,0,0,0,0,1.96,0,0,0.98,0,0.98,0,0.98,6.87
 84-94,0,0,0,0,4.25,1.06,0,11.68,0,0,0,1.06,0,0,3.19,0,172.05,0,0,0,9.56,1.06,13.81,0,0,0,0,2.12,0,1.06,0,0,2.12,0,0,3.19
 96-106,0,0,0,1.09,3.28,2.19,0,15.3,1.09,1.09,0,4.37,0,0,2.19,1.09,159.56,0,3.28,0,13.11,1.09,27.32,1.09,1.09,1.09,0,5.46,0,2.19,0,0,0,0,1.09,2.19
108-118,0,0,0,0,3.06,2.3,0.77,5.36,0,0.77,0.77,5.36,0.77,0,0.77,0.77,223.66,0.77,0.77,0,10.72,2.3,22.98,0,0,0,0,6.13,0,0,0,0,0,0.77,0,3.06
120,0,0,1.96,0,5.88,1.96,0,1.96,0,0,1.96,3.92,0,0,0,0,154.82,0,0,0,3.92,0,13.72,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
