stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,44.06,0,0,3.15,3.15,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,5,1,4,0,0,0,0,0,2,15,0,0,0,0,0,0,12,0,0,6,23,21,0,0,3,0,2,83,0,305,833,9,0,0,0,0,2
 24-34,0,0,0,1.64,2.46,25.45,87.01,0,0,0.82,0,0,6.57,0,0.82,0,0,0,1.64,5.75,0,0,28.73,58.28,4.1,2.46,5.75,0.82,0,3.28,0.82,0,130.52,265.96,22.98,0,0,0,0,7.39
 36-46,0,0,0,1.61,1.61,17.72,123.27,0.81,0,2.42,0,0,4.03,0,0,3.22,0,0,0,5.64,0,0,14.5,48.34,4.03,0.81,1.61,0,0,3.22,0,0,59.62,5.64,29.81,0,0,0,0,6.45
 48-58,0,0,0.57,1.15,5.16,24.1,99.84,0,0.57,8.03,0,0,2.3,0,0.57,2.87,1.15,0,0.57,4.59,0,1.15,35,61.4,1.72,0,4.02,0,0,0.57,0,0,31.56,0.57,24.1,0,0,0,0,6.31
 60-70,0,0,0,0,3.93,35.33,89.32,0,0,14.72,0,0,3.93,0.98,0,9.82,0.98,0,0,10.8,0.98,1.96,33.37,57.91,0.98,0,2.94,0.98,0,1.96,0,0,14.72,0,8.83,0,4.91,1.96,5.89,4.91
 72-82,0,0,0.98,0.98,10.8,37.3,63.81,0,0.98,32.39,0,0,0.98,0,0,9.82,0,0,0.98,11.78,0,4.91,38.28,79.51,0,0,16.69,0,0.98,2.94,0,0,9.82,0,7.85,0,5.89,0,27.49,3.93
 84-94,0,0,0,5.31,10.62,31.86,67.97,0,0,19.12,0,0,3.19,1.06,0,16.99,1.06,0,0,4.25,0,5.31,42.48,58.41,0,0,27.61,1.06,1.06,3.19,0,0,16.99,0,5.31,0,6.37,0,36.11,1.06
 96-106,0,0,0,5.46,13.11,19.67,91.8,0,0,39.34,1.09,0,5.46,2.19,0,14.21,6.56,2.19,0,14.21,0,0,50.27,48.09,0,0,21.86,0,1.09,7.65,0,0,20.76,0,0,1.09,10.93,4.37,46.99,1.09
108-118,0,0,0.77,0,7.66,19.92,98.04,0.77,0,21.45,4.6,0,5.36,1.53,0.77,14.55,4.6,1.53,0.77,13.79,0,0,59.75,51.32,2.3,0.77,11.49,0,3.06,4.6,0,0,20.68,0,0.77,0,8.43,1.53,24.51,1.53
120,0,0,0,5.88,17.64,17.64,60.75,0,0,21.56,1.96,0,1.96,0,0,9.8,0,0,0,3.92,0,0,84.27,41.16,0,0,13.72,0,0,0,1.96,0,5.88,0,1.96,0,3.92,0,15.68,0
