stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,337.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,21.03,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,26,3,0,13,0,0,0,0,2,4,0,0,0,0,0,0,3,0,8,66,2,1,0,0,2,1,3,2,0,3,25,0,0,1,0,0
 24-34,0,0,0.82,0,9.85,0,0,7.39,0,0.82,0,0,0.82,0,0.82,0,0,0.82,0.82,1.64,7.39,0,1.64,70.59,1.64,0,0,0,11.49,0,0,0.82,0,0.82,13.95,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,7.25,0,0.81,78.15,1.61,0,0,0,4.03,0,0,2.42,0,0,16.11,0,0,0,0,0.81
 48-58,0,0,0,0,2.87,0,0,3.44,0,0.57,1.72,1.72,0.57,0,0,0.57,0,0.57,0.57,0,8.03,0.57,1.72,48.2,0,0,0.57,0,5.74,0,0,0.57,0,0,9.18,0,0,0,0,0.57
 60-70,0,0,0,0,7.85,0,0,4.91,0,1.96,5.89,11.78,1.96,0,1.96,0.98,0,0.98,0,0.98,15.7,0,4.91,32.39,0,0,2.94,0,6.87,0,0,3.93,0,0,3.93,0,0.98,0,0.98,3.93
 72-82,0,0,0,0,1.96,0,0,9.82,0,0.98,3.93,16.69,16.69,0,0,0,0,0.98,4.91,0,12.76,0,3.93,36.32,0,0.98,0.98,0,3.93,0,0,6.87,0.98,0,1.96,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,9.56,0,0,9.56,0,0,3.19,3.19,22.3,0,0,0,1.06,0,10.62,0,12.74,1.06,3.19,12.74,1.06,0,2.12,0,10.62,0,0,7.43,0,0,5.31,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,17.49,0,0,0,17.49,59.01,0,0,3.28,0,3.28,32.79,0,14.21,0,1.09,28.41,0,1.09,0,0,3.28,0,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,0.77,17.62,0.77,1.53,2.3,13.02,72,0,0,3.06,0,3.06,74.3,0.77,13.79,0,7.66,29.87,1.53,3.83,0,0,7.66,0.77,0,9.19,0,0,0.77,1.53,0,0.77,1.53,0
120,0,0,0,0,1.96,0,0,5.88,0,1.96,0,7.84,54.87,0,0,0,0,0,29.4,0,15.68,0,0,27.44,0,0,1.96,0,1.96,0,0,11.76,0,0,0,0,0,0,0,0
