stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic.mesoderm,somites,spinal.cord,taste,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0,0,0.81,0,0
 48-58,1.15,0,0,0,0,0,0,0,1.15,0,0,1.15,0,0,4.59,0,0,0,0,0.57,0,0
 60-70,9.82,0,2.94,0,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0,1.96,0,0
 72-82,30.43,0,3.93,0.98,0,2.94,2.94,0,0,0,0,1.96,0,0,3.93,0,0,0,0,0,5.89,0.98
 84-94,40.36,0,6.37,0,0,2.12,2.12,0,1.06,0,0,1.06,0,0,3.19,0,0,0,0,2.12,20.18,0
 96-106,45.9,2.19,1.09,0,1.09,2.19,8.74,1.09,0,0,0,0,1.09,1.09,4.37,0,1.09,0,0,0,30.6,0
108-118,26.81,0,0.77,0,1.53,2.3,7.66,0,0.77,0.77,0.77,1.53,0,0,2.3,0.77,0,0,0,0,50.55,0
120,13.72,0,1.96,0,0,3.92,1.96,0,0,0,0,0,1.96,0,5.88,0,1.96,0,0,0,9.8,0
