stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,10,0,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,219.99,0,6.57,0.82,0,0,0,0,0,72.24,0,0.82,0,0.82
 36-46,0,0,0,0,0,29.81,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,542.22,0,4.83,0,0,0,0.81,0,0,112.79,0,0,0,0
 48-58,0,0,1.15,0,0,109.02,1.72,0.57,6.89,0,0,0,0,0.57,0,0.57,0,2.87,0,2.3,933.58,0,3.44,1.72,0,0,1.72,0,0,129.11,0,1.15,0,2.3
 60-70,0,0,4.91,0,0,277.77,0.98,0,7.85,0.98,0,0,0,0,0.98,0,0,6.87,0,0.98,1538.04,0.98,6.87,0.98,0,0,1.96,0,0,132.51,0,0,0,0.98
 72-82,0,2.94,5.89,1.96,0,434.88,0.98,0,22.58,1.96,0,0.98,0.98,0,0,0.98,0.98,18.65,0.98,0,1443.04,0,10.8,1.96,0,0.98,1.96,0,0,83.44,0,2.94,0,0
 84-94,0,0,11.68,1.06,0,210.28,0,0,22.3,1.06,0,0,0,0,1.06,1.06,0,11.68,1.06,1.06,603.24,0,3.19,6.37,0,0,1.06,0,0,29.74,1.06,1.06,2.12,0
 96-106,0,0,4.37,0,0,184.69,0,0,12.02,1.09,0,1.09,0,1.09,1.09,1.09,0,6.56,0,0,461.18,0,2.19,9.84,0,0,3.28,0,0,13.11,0,0,0,0
108-118,0,0.77,3.06,1.53,0.77,162.38,0,0,16.85,0.77,0,0,1.53,0.77,1.53,0,0,8.43,0.77,0,625.79,0,1.53,3.83,0,0,1.53,0,0.77,10.72,0,0.77,0.77,0
120,0,1.96,19.6,1.96,1.96,303.77,1.96,1.96,43.12,3.92,0,3.92,0,0,1.96,3.92,0,13.72,0,5.88,1675.62,0,15.68,9.8,0,0,3.92,0,0,33.32,0,0,0,0
