stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,257.44,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,10.51,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,56.65,12.59,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,20,0,0,0,0,0,5,2,1,0,2,1,0,0,0,0
 24-34,0,0,0,3.28,2.46,0,0,2.46,0,0,0,0.82,2.46,0,0,1.64,0,0.82,0,0,7.39,0,0,0.82,41.04,0,2.46,0,0,0,10.67,0,0,0.82,0.82,5.75,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,0.81,10.47,0.81,0,0,0,0,7.25,0,0,0,0,4.03,0,0,0,0.81
 48-58,0,0,0,0,2.3,0.57,0,5.16,0,0.57,0,1.72,0,0,0,0,0,2.3,0,0,9.18,0,0.57,2.3,13.2,0.57,0.57,0,0,0.57,4.02,0,0.57,0,0,4.59,0,0,0.57,0
 60-70,0,0,0,0,2.94,0.98,0,6.87,0,0,0,9.82,6.87,0,0,0.98,0,3.93,0,0,10.8,0.98,0,0,12.76,0,0.98,0,0,0.98,2.94,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,6.87,2.94,0,3.93,0,0.98,1.96,5.89,12.76,0,2.94,1.96,0,7.85,0,0,17.67,0,0.98,1.96,15.71,0,0.98,0.98,0,0,5.89,0,0,0,0,0,0,1.96,2.94,0.98
 84-94,0,0,6.37,0,6.37,1.06,0,4.25,0,0,1.06,2.12,16.99,2.12,2.12,0,0,6.37,0,0,4.25,0,0,0,6.37,0,1.06,1.06,0,0,6.37,0,0,0,0,3.19,1.06,0,0,1.06
 96-106,0,0,2.19,0,21.86,1.09,1.09,3.28,0,2.19,0,3.28,24.04,0,7.65,2.19,0,14.21,0,0,7.65,0,0,0,8.74,0,3.28,0,0,0,18.58,0,0,0,0,1.09,0,1.09,1.09,1.09
108-118,0,0,0.77,0.77,19.15,2.3,0.77,3.83,0.77,0.77,0.77,1.53,13.79,0,9.19,0.77,0.77,12.26,1.53,0,6.13,1.53,0,2.3,7.66,0,1.53,0,0,0,13.02,0,0,0.77,0,0,0,0,3.06,0
120,0,0,0,0,5.88,3.92,0,1.96,0,0,0,0,23.52,0,7.84,0,0,3.92,0,0,3.92,0,0,0,9.8,0,0,0,0,1.96,9.8,0,0,0,0,0,0,1.96,1.96,0
