stage,epidermis,eye,gut,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,periderm,pronephros,taste
 14-21,0,0,0,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,12.31,0,0
 36-46,0,1.61,0.81,0,0,0,0,0.81,0,10.47,0,0
 48-58,0,0.57,0,0,0,0,0,0.57,0,3.44,0,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,3.93,0,0
 72-82,0,0,0,0.98,0,0.98,0,0.98,0,12.76,0,0
 84-94,0,1.06,0,1.06,0,2.12,0,0,1.06,25.49,0,0
 96-106,5.46,0,1.09,1.09,1.09,1.09,1.09,0,2.19,26.23,0,0
108-118,7.66,0,1.53,0.77,0,0,0,0,1.53,15.32,0.77,0.77
120,3.92,1.96,0,3.92,0,0,0,1.96,0,27.44,0,0
