stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,7.89,0,0,23.66,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,0,31.47,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11,5,0,2,0,1,0,1,0,0,0,0,5,1,0,1,2,7,0,0,2,22,1,1,0,0,0,38,6,0,2,21,0,0,1,0,3
 24-34,0,0,0.82,0,5.75,0,0,7.39,0,2.46,0,4.93,1.64,0,0.82,1.64,13.95,0,1.64,0.82,5.75,6.57,2.46,0,0.82,87.01,2.46,4.93,7.39,0,0.82,257.75,7.39,0,2.46,23.8,0,0,7.39,0,0
 36-46,0,0,0,0.81,0.81,0,0,14.5,0,4.03,0,3.22,0,1.61,0,4.03,5.64,0,0.81,0,2.42,9.67,3.22,0,0.81,105.54,0.81,4.03,2.42,0,0,219.14,4.83,0,0,17.72,0,0,4.83,0,0
 48-58,0,0,0,0.57,2.87,0,0,27.54,0,1.72,1.72,20.08,0.57,4.02,1.15,1.15,3.44,0.57,0,0.57,3.44,22.38,3.44,1.15,3.44,95.83,0.57,4.02,6.89,0,0,147.47,1.72,0,0,26.4,0,0,4.02,0,0
 60-70,0,0,0,0,6.87,0,0,33.37,0,2.94,0,50.06,0,1.96,1.96,3.93,5.89,0.98,2.94,0,3.93,29.45,4.91,0.98,1.96,97.17,0.98,1.96,9.82,0,0.98,155.08,2.94,0,0,12.76,0.98,0,5.89,0,0.98
 72-82,0,0,1.96,0,11.78,2.94,0,55.95,0.98,5.89,0,73.62,2.94,2.94,0.98,7.85,9.82,0,7.85,0,1.96,33.38,6.87,3.93,7.85,105.04,0.98,7.85,20.61,0,0,161.97,5.89,0,0,5.89,2.94,2.94,9.82,1.96,0
 84-94,0,0,0,0,20.18,1.06,0,53.1,0,10.62,0,36.11,7.43,1.06,0,9.56,19.12,1.06,4.25,0,4.25,23.36,9.56,2.12,3.19,71.16,2.12,4.25,33.99,0,1.06,396.14,5.31,0,0,9.56,4.25,2.12,10.62,2.12,0
 96-106,0,0,0,0,24.04,2.19,0,46.99,0,8.74,0,43.71,9.84,0,2.19,13.11,17.49,3.28,7.65,3.28,0,34.97,19.67,2.19,0,73.22,1.09,8.74,34.97,0,1.09,328.95,6.56,0,0,5.46,9.84,2.19,16.39,1.09,0
108-118,0,0,0,0.77,33.7,0,0.77,24.51,0,9.96,1.53,34.47,16.09,0,0,12.26,12.26,3.06,8.43,3.06,6.13,12.26,3.83,1.53,1.53,58.21,0,7.66,21.45,0,0,258.9,6.89,0,0,6.13,6.13,0.77,6.89,0.77,0.77
120,0,0,0,0,66.63,0,0,21.56,0,7.84,0,13.72,11.76,0,0,29.4,3.92,1.96,11.76,5.88,0,9.8,9.8,0,1.96,94.07,0,1.96,21.56,0,1.96,268.49,17.64,1.96,0,1.96,5.88,0,5.88,0,0
