stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,1225.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,6.13,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,38,0,0,0,0,0,0,0,6,4,0,0,0,1,0,5,0,3,0,0,0,0,0,1,7,0,2,0,0,10,0,0
 24-34,0,0,0,2.46,6.57,9.03,0,0.82,0,0,0,0,0.82,15.6,0.82,0.82,0,0,0,0,0.82,0.82,12.31,0,0,0,0,0,0.82,21.34,0,0.82,3.28,0,40.22,0,0.82
 36-46,0,0,0,1.61,6.45,0.81,0,0,0.81,0.81,0,0,0,10.47,0,0,0,0,3.22,0.81,1.61,0,5.64,1.61,0.81,0,0,0,0,9.67,0,0,5.64,0,15.31,0,0
 48-58,0,0,0,0,1.15,0,0,1.15,0.57,0.57,4.59,1.15,0,12.05,0,0,0,0,3.44,0,2.3,0,5.16,0,0,0,0,0,1.15,2.3,0,0,5.74,0,6.31,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,27.48,3.93,0,10.8,0,0.98,0,0,3.93,0,0.98,0,5.89,0,0,0,0,0,0,1.96,0,0,5.89,0.98,3.93,0,0
 72-82,0,0,0,0,2.94,0,0,10.8,0,0,70.68,11.78,0,13.74,0.98,0.98,0,0.98,8.83,0,12.76,0,14.72,0,0,0,0,0,0,15.71,0.98,0,8.83,0.98,7.85,0,0
 84-94,0,0,1.06,0,4.25,1.06,1.06,18.05,2.12,0,22.3,37.17,0,8.5,4.25,0,0,0,69.03,0,6.37,0,14.87,0,0,0,0,0,2.12,25.49,0,0,0,2.12,10.62,0,1.06
 96-106,0,0,1.09,0,3.28,2.19,5.46,32.79,0,1.09,61.2,43.71,0,16.39,8.74,0,1.09,0,91.8,0,10.93,2.19,14.21,0,0,1.09,0,1.09,6.56,20.76,1.09,0,5.46,1.09,16.39,1.09,0
108-118,0,0,0.77,0.77,3.06,5.36,6.89,32.17,0,0,36.77,33.7,0,6.89,8.43,0.77,0.77,0,131.75,0.77,4.6,0,25.28,0,0,0.77,0,0,2.3,21.45,0,0,1.53,0,12.26,0,0
120,0,0,0,0,1.96,0,3.92,9.8,0,0,37.24,33.32,0,1.96,7.84,0,0,0,70.55,1.96,1.96,0,21.56,0,0,0,0,0,1.96,19.6,0,0,1.96,0,7.84,0,0
