stage,epidermis,eye,fin.epithelia,glial,heart,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,4,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0.82,0,1.64,0
 36-46,0.81,0,0,0,0,0,0,3.22,0,0,0,1.61,0.81,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,4.91,0,0,0,0,0,0,0,0,0.98
 72-82,0.98,0,0,0.98,0,0,0,3.93,0,0,0,0.98,0,0,0,0,0.98
 84-94,1.06,1.06,0,0,1.06,0,0,3.19,1.06,0,0,0,0,0,0,0,1.06
 96-106,1.09,0,0,1.09,0,0,0,2.19,0,1.09,1.09,2.19,0,0,1.09,1.09,1.09
108-118,2.3,0,0.77,0,0,0.77,0.77,2.3,0,0,1.53,0.77,0,0,0,0,1.53
120,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0
