stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.71,0,0,0.82,0,0,0,0,25.45,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,2.42,0,0,1.61,0,0,91.04,0,0,0,0,0.81,0,0,29.81,0,0,0,0
 48-58,0,0,0,0,1.15,0,16.07,0,0.57,0,0,1.15,0,0.57,153.21,0,0,0,0,0,0,0,34.43,0,0,0,0
 60-70,0,0,0,0,0,0,52.02,0.98,10.8,0,0,0,0,0,288.57,0,0,0,0,0,0.98,0,49.08,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,123.69,0,19.63,0,0,2.94,0,0,337.69,0,0,0,0,0,0,0,27.49,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,72.22,0,13.81,0,0,5.31,0,0,195.41,0,1.06,0,0,0,1.06,0,21.24,0,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,61.2,0,17.49,0,1.09,2.19,1.09,0,138.79,0,0,0,0,1.09,1.09,0,7.65,0,0,0,0
108-118,0,0,0,0,0.77,0,55.92,0,19.15,0.77,0,5.36,0,0,150.89,0.77,0,0,0,0,0,0,6.13,0.77,0,0,0
120,0,0,0,0,1.96,0,82.31,0,25.48,0,0,1.96,0,0,252.81,0,1.96,0,0,0,1.96,0,11.76,0,0,0,0
