stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,471.98,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,18.39,0,0,0,0,0
  7-9,7.89,2.63,7.89,0,0,0,10.51,0,0,18.4,0,0,0,0,0,252.36,10.51,94.63,2.63,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,0,37.76,0,0,3.15,0,0,0,0,0,173.08,6.29,62.94,0,0,12.59,3.15,0,0
 14-21,0,0,0,2,1,0,2,1,0,0,0,0,4,0,1,19,0,0,1,2,0,5,5,0
 24-34,0,0,0.82,0,1.64,0,1.64,0,0,0,4.93,0,4.93,0,1.64,35.3,0,0,0,0,0,1.64,7.39,0.82
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,2.42,0,3.22,0,0,24.17,0,0,0,0,0,0,6.45,0
 48-58,0,0,0,0.57,0,0,5.16,0.57,0.57,0,4.02,0,5.74,0.57,1.15,6.89,0,0,0,0,0,0,0.57,1.15
 60-70,0,0,0,0,0,0,3.93,0.98,0,0,13.74,0,5.89,0.98,0,5.89,0,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,2.94,0.98,0,0,13.74,0.98,2.94,0,1.96,5.89,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,23.36,0,2.12,0,2.12,4.25,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,4.37,0,0,0,34.97,0,1.09,0,0,4.37,0,0,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0.77,1.53,0.77,0,22.98,0,0.77,0,0.77,3.83,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,25.48,0,0,0,0,3.92,0,0,0,0,0,0,0,0
