stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,2,15,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,81.26,0,4.93,0.82,0,0,3.28,0,0.82,22.16,0,0,0.82,0
 36-46,0,0,0,0.81,0,7.25,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,265.07,0,0.81,0.81,0,0,2.42,0,0,49.15,0,0,0.81,0
 48-58,0,0,0,0,0,35,0,6.89,0,0,0,0,0,0.57,0,4.59,0,0,0,362.07,0,0.57,0.57,0.57,0,2.87,0,0,57.95,0,0,0.57,0
 60-70,0,0,0,0.98,0,117.78,0,9.82,1.96,0.98,0,0,0,0,0,3.93,0,0,0,513.34,0,1.96,2.94,0,0,5.89,0,0,39.26,0,0,0.98,0
 72-82,0,0,0,4.91,0,142.34,0,24.54,0,0,0.98,0,0,0,0,16.69,0,0,1.96,529.12,0,1.96,0.98,0,0,9.82,0,0,51.05,0.98,0.98,1.96,0
 84-94,0,0,0,3.19,1.06,89.21,1.06,11.68,0,0,0,0,0,2.12,0,11.68,1.06,1.06,1.06,235.77,0,1.06,2.12,0,0,25.49,1.06,0,15.93,1.06,1.06,3.19,1.06
 96-106,0,0,0,5.46,3.28,68.85,1.09,14.21,2.19,0,0,1.09,0,2.19,0,8.74,0,0,0,210.92,0,1.09,4.37,0,0,21.86,0,0,14.21,1.09,1.09,1.09,0
108-118,0,0,0,9.19,0,55.15,0,7.66,0.77,0,0,0.77,0.77,3.83,0,6.89,0,0,2.3,261.19,0,0.77,0.77,0,0.77,30.64,0,0,4.6,0,0.77,0.77,0
120,1.96,0,0,1.96,0,31.36,0,5.88,0,0,0,1.96,0,0,1.96,7.84,0,0,0,205.78,0,0,1.96,0,0,31.36,0,0,5.88,0,0,3.92,0
