stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,30,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,0.82,6.57,0,0,0,0.82,0,0.82,0,0,40.22,0,0.82,0,1.64,0.82,0,0,4.93,0,0,0,0,0.82,0.82,1.64,14.78,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,57.2,0,0,0,0.81,0,0,0,2.42,0,0,0,0,0,0,0,23.36,0,0
 48-58,0,0,0,0,5.16,0,0,0.57,0,2.3,0,57.38,0,0,0,1.15,1.15,0,0,2.87,0.57,0,1.15,0,0,0,2.3,22.38,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,0,1.96,0,1.96,64.78,0,0,0,4.91,0,0,0,3.93,0,0,0,0,0,0,0.98,25.52,0,0
 72-82,0,0,0,0.98,0,0.98,0,0.98,1.96,0,2.94,85.4,0,0,0,6.87,1.96,0,0,5.89,0,0.98,0,0,0.98,0,0,68.72,0.98,0
 84-94,0,1.06,0,0,4.25,1.06,0,0,2.12,3.19,0,123.2,1.06,0,0,28.68,2.12,0,0,4.25,0,0,3.19,0,4.25,0,1.06,44.61,0,0
 96-106,0,0,1.09,0,3.28,0,0,0,1.09,0,1.09,167.21,0,0,1.09,29.51,3.28,0,0,7.65,0,0,6.56,0,1.09,0,1.09,48.09,1.09,0
108-118,0,0.77,1.53,0.77,1.53,0,0,0.77,0.77,0,0,135.58,0,0,0,46.72,1.53,0.77,0,11.49,0,0.77,0,0,3.83,0,0,49.02,0,0
120,0,0,3.92,1.96,0,1.96,0,0,0,0,0,117.59,0,0,0,37.24,1.96,0,1.96,1.96,0,1.96,0,0,3.92,0,0,43.12,0,0
