stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,1,20,14,7,0,0,10,2,0,1,0,0,0,0,10,0,0,12,256,4,2,2,6,3,43,1,26,112,0,2,0
 24-34,0.82,0,3.28,8.21,19.7,1.64,0,4.1,0.82,0,0.82,0.82,0.82,2.46,0,13.95,0,0.82,11.49,170.74,0,2.46,2.46,0,4.93,0,1.64,0.82,38.58,0,0,1.64
 36-46,0,0,4.83,6.45,31.42,0,0,3.22,0,0,0,0,0,0.81,0,7.25,0,1.61,1.61,86.21,0,2.42,1.61,0,4.03,0,0,0,19.34,0,0,0
 48-58,0,0,2.3,4.02,44.76,0,0,3.44,1.15,0,0,0,0.57,0,0,3.44,0,0.57,3.44,36.15,0,0,0,0,0.57,0,0,0,2.87,0,1.72,0
 60-70,0,0,0.98,0.98,53,0,0,5.89,0,0,0.98,0,0.98,0,0,7.85,0,1.96,0.98,31.41,0,0.98,0,0,1.96,0,0,0,1.96,0,0.98,0
 72-82,0,0,0.98,0,18.65,0,0,4.91,0,0,0,0,0,0.98,0.98,8.83,0,0,4.91,14.72,0,1.96,2.94,0,0.98,0,0,0,0.98,0,1.96,0
 84-94,0,0,1.06,2.12,9.56,0,1.06,0,0,0,1.06,0,0,0,0,6.37,0,0,2.12,12.74,2.12,1.06,0,0,0,0,0,0,0,1.06,3.19,0
 96-106,0,0,4.37,0,6.56,0,0,3.28,0,1.09,0,0,0,0,0,7.65,1.09,0,1.09,5.46,0,0,0,0,1.09,0,1.09,0,0,0,2.19,0
108-118,0,0,2.3,0.77,8.43,0.77,0.77,3.83,0,0,3.06,0,0,0,1.53,0.77,0,0.77,0,9.19,0,0.77,0,0,0,0,0,0,0.77,0,1.53,0
120,0,0,1.96,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,1.96,0
