stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,2332.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,496.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,15.77,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7.89,0,0,60.46,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,195,39,0,5,0,0,0,2,2,6,3,1,3,0,0,1,38,1,0,22,56,1,0,0,2,0,34,0,5,0,13,31,0,0,21,0,0
 24-34,0.82,0,0.82,3.28,270.06,6.57,0,13.13,0,5.75,4.93,3.28,0.82,15.6,6.57,3.28,6.57,0.82,0.82,6.57,179.77,3.28,2.46,72.24,79.62,0,4.1,0,0,1.64,97.68,0,0,0,2.46,57.46,0,0,114.1,0,4.93
 36-46,0,0,0,0.81,178.86,1.61,0,12.89,0,20.95,8.06,3.22,0.81,24.98,6.45,0,11.28,1.61,0.81,9.67,188.53,1.61,13.7,59.62,55.59,0.81,4.03,0.81,0,0.81,65.26,0,0,0,0.81,49.95,0,2.42,76.54,0,13.7
 48-58,0,0,0,0.57,136.57,1.15,0,24.1,0,35,12.05,7.46,1.72,14.92,2.3,0,24.67,5.16,0,12.05,247.31,2.3,21.23,52.22,49.92,0,2.87,2.87,0,5.74,34.43,0,0.57,0.57,0,44.18,0,5.16,71.15,1.15,9.75
 60-70,0,0,0,0,155.08,0.98,0,26.5,1.96,43.19,12.76,14.72,4.91,11.78,7.85,0.98,36.32,8.83,1.96,7.85,284.64,1.96,30.43,34.35,53.98,0,1.96,5.89,0,5.89,29.45,0,0,0,0,19.63,1.96,17.67,55.95,5.89,16.69
 72-82,0,0,0.98,0,146.27,0,0,43.19,0.98,31.41,17.67,15.71,22.58,12.76,15.71,2.94,29.45,18.65,3.93,10.8,360.27,4.91,38.28,55.95,52.03,0,2.94,7.85,0,8.83,28.47,0,0,0,0,21.6,0,20.61,97.18,20.61,15.71
 84-94,0,0,2.12,1.06,259.14,1.06,0,33.99,0,49.92,13.81,9.56,32.92,6.37,15.93,4.25,50.98,14.87,1.06,21.24,209.22,4.25,24.43,21.24,39.3,2.12,1.06,6.37,0,4.25,73.28,0,0,0,0,16.99,0,19.12,81.78,15.93,10.62
 96-106,1.09,0,1.09,0,246.98,5.46,2.19,27.32,0,36.06,10.93,12.02,34.97,9.84,28.41,5.46,55.74,13.11,5.46,13.11,209.83,2.19,21.86,17.49,68.85,2.19,6.56,3.28,0,6.56,60.11,0,0,0,0,14.21,1.09,15.3,93.98,20.76,29.51
108-118,0,0,0.77,1.53,226.73,0.77,0,15.32,0.77,39.83,6.89,8.43,25.28,4.6,29.11,6.13,93.45,8.43,6.13,19.92,146.3,3.06,22.98,19.15,52.85,0.77,3.06,2.3,0,8.43,42.89,0,0,0,0,9.19,3.06,22.21,65.87,13.02,23.74
120,0,0,0,3.92,203.82,1.96,0,7.84,1.96,50.95,9.8,3.92,33.32,11.76,35.28,1.96,41.16,5.88,5.88,7.84,109.75,5.88,13.72,15.68,58.79,0,5.88,5.88,0,1.96,19.6,0,0,1.96,0,7.84,0,17.64,64.67,3.92,15.68
