stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,2.46,0.82,0,4.1,0,0,0,0,0,0,0.82,0,1.64,0,0.82,0,0,0.82,0,0,0,8.21,0,0,0,0,0,0.82,0,3.28,0,0,2.46,0,1.64
 36-46,0,0,0.81,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0.81,5.64,0.81,0,0,0.81,1.61,0,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,0,26.97,0,0,0,2.87,0,0,0,0,0,0.57,0,0,2.3,2.3,0,0,0,9.75,0,0,0,0,0,0,0,3.44,0,0,2.3,0,0
 60-70,0,0,1.96,0,0,137.41,0,0,0,5.89,0,0,0.98,0,0.98,2.94,0,0,0.98,9.82,0.98,0,0,26.5,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98
 72-82,0,0,4.91,4.91,0,306.28,0.98,0.98,0.98,16.69,1.96,0.98,0.98,0,0,0,0,0.98,1.96,46.14,0.98,0.98,1.96,91.29,0,0,1.96,0,6.87,0.98,0.98,8.83,0,0,9.82,1.96,3.93
 84-94,0,0,5.31,1.06,0,301.62,0,3.19,1.06,8.5,2.12,0,0,1.06,2.12,4.25,1.06,1.06,2.12,23.36,1.06,1.06,1.06,39.3,0,1.06,2.12,0,19.12,1.06,0,3.19,2.12,2.12,6.37,1.06,1.06
 96-106,1.09,0,34.97,6.56,1.09,332.23,6.56,0,1.09,18.58,3.28,0,0,8.74,2.19,1.09,1.09,5.46,0,37.16,1.09,0,4.37,84.15,1.09,3.28,4.37,1.09,18.58,0,0,2.19,4.37,1.09,9.84,1.09,0
108-118,0,0.77,14.55,4.6,0.77,268.09,1.53,1.53,3.83,11.49,2.3,0,0.77,3.06,0.77,3.83,1.53,4.6,2.3,46.72,0.77,1.53,3.83,85.79,2.3,2.3,2.3,1.53,11.49,0,0,0.77,0,2.3,3.83,2.3,0.77
120,0,0,17.64,5.88,3.92,356.68,0,5.88,0,15.68,7.84,0,0,1.96,1.96,5.88,1.96,5.88,1.96,39.2,1.96,0,3.92,97.99,0,0,1.96,0,11.76,3.92,0,3.92,0,0,5.88,1.96,0
