stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,214.54,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,18.4,2.63,0,0,10.51,0,0,0,0,10.51,0,0,0,0,89.38,0,0,34.17,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,25.18,0,0,15.73,0,0,0,3.15,0,0,0
 14-21,0,0,4,0,1,0,0,1,0,0,0,0,0,1,10,0,1,1,0,0,1,0,2,4,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0,18.88,0.82,0.82,0,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,2.42,0.81,0,1.61,0,0,0,0,2.42,0,22.56,0,0,0,0,0,0,0,0,4.03,1.61
 48-58,0,0,0.57,0,5.74,0,0,0.57,0,0,0,0,3.44,0,11.48,0,0.57,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,10.8,0,0,0.98,0,0,0,0,5.89,0.98,16.69,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,5.89,0,0.98,0,0,0,0.98,0,3.93,0,8.83,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,3.19,1.06,0,1.06,0,0,0,0,0,0,3.19,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,3.28,3.28,0,0,2.19,0,0,0,0,3.28,0,2.19,0,0,0,1.09,0,0,0,0,0,1.09
108-118,0,0,1.53,0.77,1.53,0,0,0,0.77,0,0,0.77,1.53,0,3.06,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0,0
