stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,44.69,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,72.38,0,0,0,0,9.44,0,0,0,0,0,0,0,0,217.14,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,1,6,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0,1,46,1,2,0,0,0,0,10,0,0,0
 24-34,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,41.86,0,7.39,0,0,0.82,0,12.31,0,0,0
 36-46,0,0,0,0.81,0,1.61,0.81,0,0.81,0,0,0.81,0,0,0,1.61,0,0,0,92.65,0,6.45,0,0,0,0,10.47,0,0,0
 48-58,0,0,0,0,0,2.87,0,0.57,0.57,0,0,0,0,0,0,3.44,0,0.57,1.15,112.47,0,3.44,0,0,0,0,6.31,0,0,0
 60-70,0,0.98,0,0.98,0,25.52,0,1.96,0.98,0,0,0,0,0.98,0,3.93,0,0.98,1.96,217.9,0,1.96,0,0,0,0,18.65,0,0,0
 72-82,0,0.98,0,0.98,0,52.03,0,0,7.85,1.96,0,0.98,0,0,0,6.87,0,0,0,270.94,0,1.96,0,0,0,0,13.74,1.96,0.98,0
 84-94,0,0,0,1.06,1.06,37.17,0,0,4.25,0,0,0,0,1.06,1.06,1.06,0,0,0,116.82,0,0,0,0,0,0,3.19,2.12,0,0
 96-106,0,0,0,1.09,0,34.97,1.09,1.09,2.19,2.19,0,0,0,0,0,2.19,1.09,1.09,1.09,109.28,0,2.19,0,0,0,0,5.46,0,1.09,0
108-118,0,0,0,0.77,0,26.81,0,0,3.06,1.53,0,0,0.77,0,0.77,3.06,0,0.77,0,140.94,0,1.53,0.77,0,1.53,0,3.83,1.53,0,0.77
120,0,0,0,7.84,0,35.28,0,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,199.9,0,0,0,0,0,0,11.76,0,0,3.92
