stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,0,1,0,0,1,1,3,0,0,1,0,0
 24-34,0,1.64,0,3.28,0,0,1.64,0.82,0,0.82,0,0.82,0,0,0,0,4.1,0,0,0.82,38.58,0,0.82,0,0,0,0,0,0,13.13,0,0,0.82,0,0.82
 36-46,0,1.61,0,7.25,0,0,2.42,0,0,0,0,0,0,0,0,0,8.06,0,0,1.61,49.95,0.81,2.42,0,0,0,0,0,0,18.53,0,0,4.83,0,0
 48-58,0,2.3,0,5.16,0,0,6.31,0,0.57,0,0,0,0,0,0,0,6.31,0,0,0.57,28.69,0.57,0,0,0,0,1.15,0,0,7.46,0,0,1.72,0,0
 60-70,0,0,0,11.78,0,2.94,3.93,0,0,0,0,0,0,0.98,0,0,2.94,0.98,0,0.98,31.41,0,0.98,0.98,0,0,0,0,0,7.85,0,0,1.96,0,0
 72-82,0,0.98,0,24.54,0,1.96,11.78,0,0,0.98,0.98,0,0,0,0,0,16.69,0.98,0,0.98,41.23,0,0.98,0,0,0.98,0.98,0,0,8.83,0,0,1.96,0,0
 84-94,0,3.19,2.12,19.12,1.06,1.06,8.5,1.06,0,0,1.06,1.06,1.06,0,0,2.12,6.37,0,0,2.12,33.99,0,2.12,1.06,0,0,0,0,0,5.31,0,2.12,1.06,1.06,0
 96-106,2.19,5.46,0,26.23,0,0,7.65,0,0,0,3.28,0,1.09,1.09,0,1.09,15.3,1.09,1.09,1.09,18.58,0,1.09,6.56,0,0,5.46,0,0,1.09,0,0,4.37,0,0
108-118,0,6.13,0,17.62,0.77,0.77,9.96,0,0,0,2.3,0,0.77,2.3,0,0,16.85,0,0.77,1.53,35.23,0,0.77,2.3,0,0,1.53,0,0,3.06,0.77,0,4.6,0.77,0.77
120,0,0,3.92,11.76,0,1.96,5.88,3.92,0,0,5.88,0,0,0,1.96,0,15.68,0,0,1.96,23.52,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,0
