stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pronephros,somites,spinal_cord
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0
  7-9,2.63,2.63,0,0,7.89,0,0,0,0,0,89.38,2.63,0,26.29,0,0,0
 10-12,0,3.15,0,0,12.59,0,0,0,0,0,103.85,3.15,0,22.03,6.29,0,0
 14-21,0,0,8,1,2,0,1,0,5,2,19,0,0,0,0,2,4
 24-34,0,0,0.82,0,2.46,0,0,0,0,1.64,8.21,0.82,9.85,0,0,0,3.28
 36-46,0,0,0,0,0.81,0,0,0,0,0,4.83,0,12.89,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0,0.57,0,3.44,0,5.16,0,0,0,1.15
 60-70,0,0,0,0,4.91,0,0,0,0,0,2.94,0,3.93,0,0,0,1.96
 72-82,0,0,0,0,4.91,0,0,0.98,0,0,1.96,0,6.87,0,0,0,0.98
 84-94,0,0,0,0,0,2.12,0,0,0,0,2.12,0,4.25,0,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,0,0,1.09,0,1.09,0,14.21,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,2.3,0,5.36,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0
