stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,18,2,36,0,1,0,6,0,0,0,0,1,1,0,2,0,14,0,0,4,1861,1,0,1,4,0,4,12,1,0,11,511,0,0,0,1
 24-34,13.13,0,24.63,0,0,1.64,11.49,0,0.82,0.82,0.82,0.82,1.64,0,0,0,22.16,0,0,5.75,2208.92,2.46,1.64,1.64,0,0,5.75,0.82,0.82,1.64,3.28,591.84,0,0,5.75,3.28
 36-46,1.61,0.81,17.72,0,0.81,0,58.81,0,0,0,0,0,0,0,0.81,0.81,13.7,1.61,1.61,8.06,1434.9,1.61,1.61,1.61,0,0,4.83,0,1.61,0,0,504.35,0,0.81,4.83,0.81
 48-58,2.87,0.57,37.3,0,2.87,0,128.53,0,0,0.57,0,0.57,0.57,0.57,0,0,9.75,0,0,2.3,587.58,0.57,0,1.15,0,0.57,1.72,0,0,0,0,308.71,0,0,0.57,0
 60-70,3.93,0,16.69,0,0,0,136.43,0,0,0,0,0.98,0,0,0,0,8.83,0,0,2.94,239.49,0,0,0,0,0,0,0,0.98,0,0,94.23,0,0,0,0
 72-82,6.87,2.94,28.47,0.98,0,0,176.7,0,0,0,0.98,0,0.98,0,0,0,11.78,0.98,0,6.87,171.79,0,0.98,0,0,0,0.98,0,0,0,0,20.61,0,0,0.98,0.98
 84-94,10.62,0,35.05,0,0,0,104.08,0,0,0,0,0,1.06,0,0,0,7.43,0,0,7.43,138.06,0,0,1.06,0,0,3.19,0,0,0,0,32.92,0,1.06,0,0
 96-106,8.74,2.19,28.41,0,0,0,121.31,1.09,0,1.09,1.09,0,0,1.09,1.09,0,15.3,1.09,2.19,5.46,140.98,0,0,0,0,0,2.19,0,0,0,0,12.02,0,0,1.09,0
108-118,3.06,0,17.62,0,0.77,1.53,111.06,0,0,0,0.77,0,0.77,0,0,0,7.66,0,1.53,7.66,178.47,0,0.77,0,0,0.77,0.77,0,0.77,0,0,4.6,0,0,0,0
120,1.96,1.96,23.52,0,0,0,101.91,0,0,0,0,0,0,0,0,0,5.88,0,0,5.88,170.5,0,0,1.96,0,0,0,0,0,0,0,15.68,1.96,0,0,0
