stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.61,12.59,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,0,2,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,1,155,8,1,1,2,0,0,1,1,0,70,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,0,21.34,0,0,0,7.39,0,0,0.82,0,0,0.82,0.82,1.64,6.57,0,0,4.93,536.02,0.82,9.03,9.03,0,5.75,0,0,0,0.82,141.19,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,113.6,0,0,0,22.56,0,0,0.81,0,0,3.22,0,0,9.67,0,0,3.22,912.82,0,0,4.03,0,3.22,0,0,0,0,222.36,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.3,0,168.7,0.57,0,1.72,35,0,0.57,1.72,0,0,3.44,0,0.57,19.51,1.15,1.15,1.15,770.05,0.57,5.16,5.16,0,0,0,0,0,0,162.39,0,0.57,1.15,0,1.72
 60-70,0,0,0.98,0,0.98,0,217.9,0,0,0,28.46,0,0,0.98,0,0,9.82,0,0.98,14.72,1.96,1.96,0,956.98,0,1.96,12.76,0,2.94,0,0,0,0,99.13,0,0,3.93,0,0.98
 72-82,0,0,0.98,0,6.87,0.98,181.61,0,0,0,28.47,1.96,0,1.96,0,0,13.74,0,0,17.67,0.98,1.96,1.96,692.07,0,0.98,32.39,0,1.96,0.98,0,0,0,52.03,0.98,0,2.94,1.96,0
 84-94,0,0,0,0,4.25,0,105.14,0,2.12,0,12.74,3.19,0,2.12,1.06,0,19.12,0,1.06,12.74,2.12,4.25,0,294.18,0,0,42.48,0,5.31,0,0,0,0,19.12,2.12,2.12,2.12,0,0
 96-106,0,0,0,0,3.28,0,85.24,0,0,1.09,9.84,2.19,0,7.65,0,1.09,36.06,0,0,8.74,0,3.28,0,220.76,1.09,3.28,59.01,0,1.09,0,0,0,0,9.84,0,0,0,0,1.09
108-118,0,0,0,0,5.36,0,65.11,0.77,0,0,8.43,2.3,0,4.6,0,0,16.09,0,0,6.13,1.53,0.77,0,229.79,0,0.77,32.94,0,0.77,0,0,0,0,11.49,0,0,0.77,0,0
120,0,0,0,0,0,0,80.35,0,3.92,0,23.52,1.96,0,3.92,0,0,23.52,0,1.96,7.84,0,0,0,268.49,0,1.96,45.08,0,1.96,0,0,0,0,9.8,0,0,0,0,0
