stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0.82,0.82,0,0,0,0.82,5.75,0,0,0,1.64,0,2.46,0.82,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,1.61,0.81,0,0,12.09,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,2.87,0.57,0.57,1.15,0,0,0,2.3,0,0,0,13.2,0,0,0.57,0,0.57,1.72,0,0,0.57
 60-70,0,0,2.94,0,0,0,0,0,0.98,0.98,0,0.98,0,20.61,0,0,0,0,0,2.94,0,0,0
 72-82,0.98,0.98,5.89,0,0,0.98,0,0,0,4.91,0,0,0,16.69,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,4.25,0,0,3.19,0,0,0,2.12,0,0,1.06,7.43,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,3.28,1.09,0,3.28,0,0,0,1.09,1.09,0,1.09,10.93,0,0,0,0,0,0,0,1.09,0
108-118,1.53,0,4.6,0,0,0.77,0,0,0,0,0,0,0,10.72,0,0.77,0.77,0,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,19.6,0,0,0,1.96,0,0,0,1.96,0
