stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,23.66,2.63,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11,0,0,0,0,2,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0.82,0,1.64,0,0,2.46,0,0,0,14.78,0,0,0,3.28,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,8.06,0,0,0,0,0.81,0,0,0,0,2.42,0,0,0.81,16.11,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,4.59,0,0.57,0,0,0,0,0,0.57,0,0.57,0,0,0,10.33,0.57,0,0,0,0,0,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,83.43,0.98,1.96,0,0,0,0,0,0,0,5.89,0,0,0,17.67,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,0,323.95,0.98,2.94,0.98,0,0,0,0.98,0,0,4.91,0.98,0.98,0,8.83,0,0.98,0,1.96,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,1.06,297.37,0,1.06,1.06,0,0,0,0,0,1.06,0,0,1.06,0,3.19,0,1.06,0,3.19,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,267.75,0,0,1.09,0,0,1.09,0,0,0,1.09,0,0,1.09,3.28,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,151.66,0,0.77,0,0,0,0,0.77,0.77,0,2.3,0,0,0.77,9.19,0,0.77,0,3.83,0,0,0,0,0,0,0,0,1.53
120,0,0,0,0,0,0,0,145.02,0,3.92,0,0,0,0,0,0,0,0,0,1.96,1.96,3.92,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
