stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,34.62,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,19,44,0,0,0,0,0,0,0,0,88,0,1,0,0,2,5,0,2,19,0,0,24,0,31,0,3,0,0,5,10,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,2.46,0,1.64,0.82,0,0,1.64,76.34,0,0.82,0,0,1.64,9.85,0,2.46,32.83,0.82,0,18.06,0,2.46,0,0,0,0,0,3.28,0,0,8.21,0,0
 36-46,0,0,0,1.61,0,0,7.25,0,0.81,2.42,0,0,0,17.72,0,1.61,0,0,4.03,1.61,0,1.61,25.78,0,0.81,12.09,0,4.03,0,0,0.81,0,0,8.86,0,0,4.83,0,0
 48-58,0,0,0,2.3,0,0,45.33,0.57,0,3.44,0,0,0,11.48,0,4.59,0,0,2.87,1.15,0,1.15,23.53,0,0,20.08,0,0.57,0,0,0,0,0,9.18,0,0,5.74,0,0
 60-70,0,0,0,10.8,0,0,43.19,2.94,0.98,0.98,0,0,3.93,12.76,0,7.85,0,0,6.87,0.98,0,0,8.83,0,0,28.46,0,0.98,0,0,0,0,0,0.98,0,0.98,7.85,0,0
 72-82,0,0.98,0,17.67,4.91,0,43.19,0,0,3.93,0.98,0.98,7.85,28.47,0,18.65,0,0,3.93,3.93,0.98,0,13.74,0,0,58.9,0,0.98,0.98,0,0,0.98,0,0.98,3.93,0,6.87,1.96,0.98
 84-94,0,1.06,0,21.24,5.31,0,35.05,2.12,0,3.19,2.12,0,6.37,59.47,0,33.99,1.06,0,7.43,5.31,1.06,2.12,14.87,0,1.06,86.03,0,1.06,0,0,0,0,0,2.12,2.12,0,9.56,0,0
 96-106,0,0,0,24.04,3.28,1.09,18.58,1.09,0,5.46,1.09,0,15.3,51.36,0,40.44,1.09,1.09,5.46,0,0,0,19.67,0,2.19,98.36,0,4.37,1.09,0,0,0,0,0,1.09,0,27.32,0,0
108-118,0,0,0,11.49,3.06,0,18.38,0,0.77,3.06,0.77,0,17.62,49.79,0,30.64,0,0,4.6,1.53,0,1.53,14.55,0,0.77,68.17,0,0.77,0,0,1.53,0,0,0,3.06,0,19.92,0,1.53
120,0,0,0,21.56,3.92,0,17.64,1.96,0,0,3.92,0,19.6,13.72,1.96,13.72,0,0,0,0,0,0,9.8,0,0,74.47,0,0,0,0,0,0,0,0,0,0,19.6,0,0
