stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,7,1,0,4,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,1,14,2,0,1,0,0,9,0,3,5,2,6,0,0,2,0,0
 24-34,0,0,0,0,4.93,0,0,1.64,0,0,0.82,0,0,0,0,6.57,0,0,0,1.64,4.93,1.64,0,1.64,12.31,0,1.64,0.82,0,0,12.31,0,0,0,0,8.21,0,0,4.1,0,0.82
 36-46,0,0,0.81,0,0.81,0,0,10.47,0,1.61,0.81,0,0,1.61,0,1.61,0,0.81,0,3.22,7.25,0.81,0.81,2.42,20.14,0,0,0,0,0,16.11,0,0,0.81,0,0.81,0,0,7.25,0,0
 48-58,0,0,0,0,0,0,0,13.77,0,0,1.15,0,0,0.57,0,1.72,0,0,0.57,2.3,12.62,1.72,0,0,5.74,0,1.72,0,0,0,5.74,0,0,0,0,0.57,0,0.57,1.72,0,0
 60-70,0,0,0,0,1.96,0,0,13.74,0,0,4.91,0.98,0,0,0,2.94,0.98,0,0,0,27.48,0.98,0,0,8.83,0,0,1.96,0,0,16.69,0,0,0,0,0.98,0,0.98,1.96,0,0
 72-82,0,0,0.98,0,2.94,0.98,0,9.82,0,1.96,11.78,2.94,1.96,0.98,0.98,2.94,0,0.98,0,0.98,18.65,0.98,0.98,0.98,10.8,0,0.98,1.96,0,0,14.72,0,0,0,0,2.94,0,1.96,16.69,0,0
 84-94,0,0,0,0,6.37,2.12,0,10.62,0,1.06,5.31,0,0,1.06,0,4.25,1.06,0,1.06,0,16.99,1.06,1.06,3.19,5.31,0,0,2.12,0,0,55.23,0,0,1.06,0,1.06,0,1.06,4.25,3.19,1.06
 96-106,0,0,0,0,6.56,0,1.09,12.02,0,0,12.02,3.28,0,1.09,0,3.28,0,1.09,1.09,0,18.58,3.28,1.09,1.09,12.02,0,0,2.19,0,3.28,42.62,0,0,0,0,1.09,0,4.37,6.56,1.09,0
108-118,0,0,0,0,7.66,0,0,5.36,1.53,0.77,3.83,3.83,0,0,0.77,2.3,0.77,0,1.53,0,19.92,1.53,0.77,1.53,3.06,0,0.77,2.3,0,0,29.87,0,0,0,0,0,1.53,0.77,6.13,1.53,0
120,0,0,0,0,13.72,0,0,9.8,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0,15.68,1.96,0,1.96,11.76,0,1.96,0,0,1.96,23.52,0,0,0,0,0,0,0,11.76,0,0
