stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,33,54,0,9,0,15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,21,65,1,12,1,0,84,6,87,82,23,0,0,19,0,0
 24-34,0,0,1.64,52.53,64.85,0,4.93,0.82,44.33,0,0,0.82,0,13.13,0,0,0,4.1,1.64,0,8.21,1.64,0,8.21,148.57,37.76,0,17.24,0,0,214.24,25.45,10.67,23.8,64.03,0,0,138.72,0,0
 36-46,0,0.81,0,29.81,37.87,0,34.64,4.03,12.89,1.61,2.42,0.81,0,10.47,0.81,0,0,3.22,0,0,15.31,1.61,0,3.22,410.09,34.64,0,20.95,0,0,174.83,8.06,2.42,0,95.87,0,0,200.61,0,0
 48-58,0,0,0,15.49,87.22,0,133.12,2.3,9.18,0.57,14.92,3.44,0,13.77,1.15,0.57,0,1.15,0,0.57,39.02,1.15,0.57,5.16,439.53,32.13,0,24.1,0,0,108.45,4.02,0.57,0,79.19,0,0,149.76,0,0.57
 60-70,0.98,0,0,17.67,141.34,0,184.53,6.87,10.8,0,24.54,10.8,0,4.91,2.94,0.98,0,1.96,1.96,0,116.8,0,0.98,8.83,897.11,23.56,1.96,20.61,0,0,97.17,7.85,0.98,0,87.36,0,1.96,136.43,0,0
 72-82,0,0,0.98,14.72,171.79,0,164.92,5.89,10.8,0.98,51.05,32.39,0.98,15.71,2.94,0,0.98,2.94,1.96,0,187.5,0,0.98,6.87,707.78,13.74,0.98,48.1,0,0.98,86.39,10.8,0,0,37.3,2.94,0,264.07,0.98,0.98
 84-94,1.06,0,0,48.85,123.2,0,114.7,7.43,13.81,0,20.18,50.98,0,6.37,1.06,1.06,0,2.12,1.06,0,135.94,0,3.19,8.5,321.8,38.23,2.12,54.16,0,1.06,227.28,11.68,0,0,22.3,5.31,1.06,232.59,1.06,0
 96-106,0,0,3.28,55.74,145.35,1.09,100.54,9.84,19.67,1.09,29.51,30.6,0,16.39,6.56,2.19,0,3.28,3.28,0,103.82,2.19,6.56,5.46,283.05,28.41,1.09,66.66,0,2.19,216.38,16.39,1.09,0,13.11,5.46,0,286.33,1.09,1.09
108-118,0.77,0.77,0.77,48.26,60.51,0.77,94.98,4.6,23.74,0.77,20.68,34.47,0,7.66,5.36,3.83,0.77,2.3,2.3,0,85.79,0,1.53,3.83,264.26,24.51,1.53,47.49,0,5.36,179.24,16.09,0,0,6.13,13.79,0,212.17,0,3.06
120,1.96,0,0,54.87,78.39,1.96,99.95,17.64,17.64,0,25.48,17.64,0,9.8,0,1.96,0,0,0,0,72.51,5.88,1.96,9.8,325.32,43.12,0,35.28,0,5.88,141.1,11.76,0,0,15.68,1.96,0,164.62,0,0
