stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,300.35,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,15.77,0,10.51,0,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,149.84,7.89,0,0,47.32,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,122.73,6.29,0,0,22.03,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,2,25,1,0,3,0,0,0,4,1,0,1,1,1,0,0,0,0,14,0,0,10,53,5,0,2,0,0,1,7,1,2,22,0,0,6,0,0
 24-34,0,0,0,0,18.06,0.82,0,22.16,0,1.64,2.46,4.93,0,0,0.82,0,0.82,0,2.46,0,0.82,34.48,1.64,0.82,22.98,154.32,0.82,0.82,1.64,0,0,9.85,0,0,3.28,52.53,0,0,12.31,0,1.64
 36-46,0,0,0,0,7.25,0.81,0,20.14,2.42,2.42,0.81,3.22,0,0,1.61,0,0,0,0.81,1.61,0,31.42,0,0,11.28,82.98,1.61,1.61,2.42,0,0,12.09,0,0.81,0,25.78,0,0,7.25,0,0.81
 48-58,0,0,0,0,10.9,0.57,0,40.74,0,0.57,3.44,16.07,0,0,0.57,0.57,0,1.15,2.87,0,0.57,84.92,0.57,3.44,13.77,84.35,2.87,1.72,5.16,0,1.15,9.18,0,0,0,34.43,0,0,7.46,0,1.15
 60-70,0,0,0.98,0,23.56,0,0,48.09,0,2.94,4.91,25.52,2.94,0,0.98,0.98,0,2.94,0.98,0.98,0,134.47,0,5.89,9.82,112.88,1.96,0.98,6.87,0,0.98,11.78,0,0.98,0,22.58,1.96,3.93,3.93,1.96,0
 72-82,0,0,0,0,15.71,1.96,0,42.21,0,0.98,7.85,50.06,4.91,0,3.93,4.91,2.94,1.96,1.96,0,0,201.24,2.94,8.83,21.6,90.31,1.96,4.91,6.87,0,0.98,9.82,0,0.98,0,8.83,1.96,4.91,16.69,5.89,2.94
 84-94,0,0,1.06,0,22.3,2.12,0,31.86,0,9.56,8.5,31.86,0,0,2.12,3.19,1.06,1.06,2.12,0,0,106.2,0,8.5,13.81,43.54,3.19,2.12,4.25,0,0,31.86,0,3.19,0,8.5,2.12,5.31,12.74,4.25,1.06
 96-106,1.09,0,1.09,0,29.51,2.19,0,41.53,1.09,7.65,5.46,49.18,12.02,0,13.11,6.56,1.09,3.28,2.19,1.09,1.09,170.48,0,9.84,18.58,75.41,4.37,5.46,13.11,0,1.09,10.93,0,1.09,0,7.65,4.37,5.46,19.67,9.84,6.56
108-118,0,0,0,0,16.09,1.53,0,20.68,0.77,5.36,3.06,36,3.06,0,2.3,5.36,0,5.36,1.53,2.3,1.53,137.11,0,6.89,7.66,67.4,6.13,4.6,10.72,0,2.3,9.19,0,0.77,0,6.89,1.53,3.83,11.49,4.6,1.53
120,0,0,1.96,0,39.2,1.96,3.92,23.52,0,13.72,7.84,35.28,1.96,0,7.84,5.88,3.92,0,7.84,1.96,0,78.39,0,1.96,9.8,64.67,3.92,5.88,11.76,0,1.96,15.68,0,3.92,0,3.92,1.96,1.96,13.72,5.88,3.92
