stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,0,0,0,0,0,4.1,0,0,0,1.64,0,0,0.82,0,0,0,0,0,4.1,0,0,0,0,0,1.64,0.82,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,21.75,0,0,0,0,0,0,7.25,0,2.42,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,0,5.16,0,0,0.57,1.72,52.22,0,0,0,0.57,0,0,5.74,0,0,0,0,0,7.46,0,0,0,0,1.15,0.57,4.02,0,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,0,16.69,0,0,0,0,113.86,0,0,0,0.98,0,0,10.8,0,3.93,0,0,0,30.43,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0,20.61,2.94,1.96,2.94,0,47.12,0,0,0.98,8.83,290.57,0,0.98,2.94,0.98,0.98,0.98,4.91,0,26.5,0.98,0.98,4.91,128.6,0,1.96,0,0,8.83,0.98,3.93,0,0.98,1.96,1.96,2.94
 84-94,0,0,22.3,11.68,5.31,1.06,0,28.68,0,0,2.12,5.31,510.84,0,0,1.06,0,1.06,1.06,9.56,2.12,16.99,1.06,2.12,2.12,76.47,0,4.25,1.06,0,7.43,2.12,2.12,1.06,1.06,4.25,0,0
 96-106,0,0,33.88,17.49,7.65,6.56,0,44.81,2.19,0,3.28,17.49,680.84,0,2.19,3.28,5.46,1.09,1.09,8.74,0,21.86,5.46,1.09,4.37,169.39,0,2.19,1.09,0,28.41,4.37,2.19,3.28,1.09,2.19,1.09,2.19
108-118,0,0,19.15,20.68,6.13,8.43,2.3,24.51,0,0.77,2.3,8.43,728.43,0,0,3.06,0.77,2.3,0,9.19,0,19.15,3.83,0.77,4.6,117.96,1.53,0.77,1.53,0,9.19,3.06,1.53,2.3,0.77,0.77,0,1.53
120,0,0,19.6,7.84,9.8,7.84,1.96,17.64,0,0,0,17.64,515.42,0,0,0,0,0,0,21.56,0,17.64,5.88,1.96,1.96,97.99,0,0,0,0,5.88,7.84,1.96,0,0,0,0,0
