stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,1.61,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,2.3,0,0.57,2.3,0,0,0,0,3.44,0,0,0,2.3,0,0.57,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,8.83,0.98,0,0,0,3.93,0.98,0.98,0,1.96,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,1.96,0,0.98,33.38,0,0,0.98,0,0,3.93,0.98,0,6.87,0,0,0.98,0,1.96,0,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,1.06,0,0,103.02,0,0,0,1.06,2.12,1.06,0,0,4.25,0,0,1.06,0,23.36,0,0,0,0,0,0
 96-106,0,0,3.28,3.28,1.09,8.74,0,0,179.23,1.09,1.09,0,0,1.09,2.19,1.09,1.09,14.21,0,0,0,0,4.37,0,0,0,1.09,1.09,1.09
108-118,0,0.77,1.53,0,0.77,3.06,1.53,1.53,333.19,0,0,0,0,3.06,1.53,0,0,22.98,0.77,0,3.06,0,6.89,0.77,0,0,0,0.77,0
120,0,0,1.96,1.96,1.96,0,0,1.96,168.54,0,0,0,0,0,1.96,0,1.96,17.64,0,1.96,1.96,0,7.84,0,0,0,0,0,0
