stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,1.64,1.64,0,0,0,0,0,0,4.1,0,0,0,0,23.8,0.82,0.82,9.03,1.64,0,0,0,0.82,0,0.82,0.82,0.82,0,0,0,0
 36-46,0,1.61,0,2.42,0,0,0.81,0,0,6.45,0,0.81,0,0,9.67,0.81,0.81,8.06,0.81,0,0.81,1.61,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0.57,0,3.44,0,0,0.57,0,0,1.72,0,0,0,0,7.46,0,0.57,6.31,1.15,1.15,0,0.57,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,8.83,0,0,0,0,0,6.87,0.98,0,0,0,1.96,2.94,1.96,10.8,0.98,0.98,0,0,0,0,1.96,0,1.96,4.91,0,9.82,0
 72-82,0,1.96,0,7.85,1.96,0,1.96,0,0,1.96,0,0,0,0,13.74,4.91,0,8.83,0,0,0,1.96,0.98,0,0.98,0,0,7.85,0,30.43,0
 84-94,0,0,0,4.25,2.12,0,0,0,0,3.19,1.06,0,1.06,0,8.5,3.19,1.06,4.25,0,0,0,0,0,0,0,0,1.06,8.5,0,44.61,1.06
 96-106,0,2.19,0,5.46,9.84,0,0,1.09,0,9.84,0,0,0,0,8.74,1.09,1.09,10.93,0,0,0,5.46,1.09,0,1.09,0,0,17.49,1.09,57.92,0
108-118,0,1.53,0,2.3,4.6,0.77,0.77,0,0,7.66,0,0,1.53,0.77,5.36,2.3,2.3,9.19,0,0,0,8.43,0,0,0.77,0,0,12.26,0.77,34.47,0
120,0,3.92,0,0,3.92,0,0,1.96,0,3.92,0,0,0,0,15.68,5.88,0,7.84,0,0,0,0,0,1.96,0,0,0,1.96,0,25.48,0
