stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,24,0,1,0,0,1,0,3,11,3,0
 24-34,0,1.64,1.64,0,0,3.28,0,0,0,0,0,0,5.75,0,2.46,73.88,0,0,0.82,0,0,0,0,2.46,12.31,0
 36-46,0,0.81,4.83,0,0,5.64,0,0,0,0,0,0,5.64,0,2.42,74.93,0.81,0,0,0,0,0,0,0,11.28,0.81
 48-58,0,0,14.35,0,0,10.33,0,0,0,0.57,0,0,4.59,0,2.3,50.49,0,1.72,0,0,0,0,0,0,2.87,0
 60-70,0,0,18.65,0,0,10.8,0.98,0,0,0,0,0,5.89,0,0.98,26.5,0,0,0,0,0,0,0,0,2.94,0
 72-82,0.98,0,5.89,0,0.98,34.36,0,0.98,0,0,0.98,0,2.94,0,0,26.5,0,2.94,0,0,0,0,0,0,0.98,0
 84-94,1.06,0,5.31,0,0,13.81,1.06,0,0,0,0,0,2.12,1.06,0,13.81,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,6.56,1.09,0,22.95,0,0,1.09,1.09,0,0,1.09,0,2.19,15.3,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,3.06,0.77,0,26.04,0,0,0,0.77,0.77,0,5.36,0,0,14.55,0,0.77,0,0,0,0,0,0,0,0
120,0,0,3.92,0,0,15.68,0,0,0,0,0,0,3.92,0,1.96,19.6,0,1.96,1.96,0,0,0,0,0,0,0
