stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,4.93,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0,12.76,0,0,0,0,2.94,0,0.98,0,0,0,2.94,0,0
 84-94,0,1.06,0,0,0,0,0,0,12.74,0,1.06,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,4.37,3.28,0,3.28,1.09,3.28,1.09,22.95,0,4.37,0,1.09,16.39,0,0,1.09,3.28,1.09,1.09,1.09,0
108-118,0,1.53,0.77,0.77,5.36,0,3.06,0.77,27.57,0,4.6,0,0,15.32,0,1.53,0,3.06,0,0,1.53,1.53
120,0,1.96,1.96,0,5.88,0,0,1.96,35.28,0,7.84,0,3.92,19.6,1.96,0,0,1.96,0,1.96,0,1.96
